+----------------------+------+--------+----------+-----------+
|      series id       | year | period |  value   | footnotes |
+----------------------+------+--------+----------+-----------+
| LASST060000000000006 | 2008 |  M12   | 18295790 |           |
| LASST060000000000006 | 2008 |  M11   | 18290767 |           |
| LASST060000000000006 | 2008 |  M10   | 18278674 |           |
| LASST060000000000006 | 2008 |  M09   | 18260708 |           |
| LASST060000000000006 | 2008 |  M08   | 18237890 |           |
| LASST060000000000006 | 2008 |  M07   | 18209191 |           |
| LASST060000000000006 | 2008 |  M06   | 18175008 |           |
| LASST060000000000006 | 2008 |  M05   | 18139327 |           |
| LASST060000000000006 | 2008 |  M04   | 18107051 |           |
| LASST060000000000006 | 2008 |  M03   | 18079265 |           |
| LASST060000000000006 | 2008 |  M02   | 18055339 |           |
| LASST060000000000006 | 2008 |  M01   | 18033755 |           |
| LASST060000000000006 | 2007 |  M12   | 18011604 |           |
| LASST060000000000006 | 2007 |  M11   | 17988188 |           |
| LASST060000000000006 | 2007 |  M10   | 17962947 |           |
| LASST060000000000006 | 2007 |  M09   | 17935435 |           |
| LASST060000000000006 | 2007 |  M08   | 17907984 |           |
| LASST060000000000006 | 2007 |  M07   | 17883860 |           |
| LASST060000000000006 | 2007 |  M06   | 17864864 |           |
| LASST060000000000006 | 2007 |  M05   | 17850870 |           |
| LASST060000000000006 | 2007 |  M04   | 17841314 |           |
| LASST060000000000006 | 2007 |  M03   | 17834238 |           |
| LASST060000000000006 | 2007 |  M02   | 17825538 |           |
| LASST060000000000006 | 2007 |  M01   | 17811805 |           |
| LASST060000000000006 | 2006 |  M12   | 17792058 |           |
| LASST060000000000006 | 2006 |  M11   | 17764761 |           |
| LASST060000000000006 | 2006 |  M10   | 17732943 |           |
| LASST060000000000006 | 2006 |  M09   | 17701869 |           |
| LASST060000000000006 | 2006 |  M08   | 17674259 |           |
| LASST060000000000006 | 2006 |  M07   | 17651454 |           |
| LASST060000000000006 | 2006 |  M06   | 17632466 |           |
| LASST060000000000006 | 2006 |  M05   | 17613866 |           |
| LASST060000000000006 | 2006 |  M04   | 17594446 |           |
| LASST060000000000006 | 2006 |  M03   | 17576896 |           |
| LASST060000000000006 | 2006 |  M02   | 17565016 |           |
| LASST060000000000006 | 2006 |  M01   | 17561146 |           |
| LASST060000000000006 | 2005 |  M12   | 17565004 |           |
| LASST060000000000006 | 2005 |  M11   | 17572946 |           |
| LASST060000000000006 | 2005 |  M10   | 17579571 |           |
| LASST060000000000006 | 2005 |  M09   | 17581593 |           |
| LASST060000000000006 | 2005 |  M08   | 17575912 |           |
| LASST060000000000006 | 2005 |  M07   | 17561560 |           |
| LASST060000000000006 | 2005 |  M06   | 17540210 |           |
| LASST060000000000006 | 2005 |  M05   | 17515764 |           |
| LASST060000000000006 | 2005 |  M04   | 17492262 |           |
| LASST060000000000006 | 2005 |  M03   | 17473007 |           |
| LASST060000000000006 | 2005 |  M02   | 17457294 |           |
| LASST060000000000006 | 2005 |  M01   | 17443049 |           |
| LASST060000000000006 | 2004 |  M12   | 17431266 |           |
| LASST060000000000006 | 2004 |  M11   | 17423380 |           |
| LASST060000000000006 | 2004 |  M10   | 17417684 |           |
| LASST060000000000006 | 2004 |  M09   | 17409509 |           |
| LASST060000000000006 | 2004 |  M08   | 17398727 |           |
| LASST060000000000006 | 2004 |  M07   | 17386330 |           |
| LASST060000000000006 | 2004 |  M06   | 17374274 |           |
| LASST060000000000006 | 2004 |  M05   | 17363161 |           |
| LASST060000000000006 | 2004 |  M04   | 17351609 |           |
| LASST060000000000006 | 2004 |  M03   | 17340226 |           |
| LASST060000000000006 | 2004 |  M02   | 17329769 |           |
| LASST060000000000006 | 2004 |  M01   | 17319513 |           |
| LASST060000000000006 | 2003 |  M12   | 17305161 |           |
| LASST060000000000006 | 2003 |  M11   | 17288156 |           |
| LASST060000000000006 | 2003 |  M10   | 17273942 |           |
| LASST060000000000006 | 2003 |  M09   | 17266654 |           |
| LASST060000000000006 | 2003 |  M08   | 17266429 |           |
| LASST060000000000006 | 2003 |  M07   | 17270200 |           |
| LASST060000000000006 | 2003 |  M06   | 17275282 |           |
| LASST060000000000006 | 2003 |  M05   | 17279492 |           |
| LASST060000000000006 | 2003 |  M04   | 17280709 |           |
| LASST060000000000006 | 2003 |  M03   | 17276224 |           |
| LASST060000000000006 | 2003 |  M02   | 17269968 |           |
| LASST060000000000006 | 2003 |  M01   | 17267788 |           |
| LASST060000000000006 | 2002 |  M12   | 17271392 |           |
| LASST060000000000006 | 2002 |  M11   | 17277019 |           |
| LASST060000000000006 | 2002 |  M10   | 17280269 |           |
| LASST060000000000006 | 2002 |  M09   | 17280761 |           |
| LASST060000000000006 | 2002 |  M08   | 17277546 |           |
| LASST060000000000006 | 2002 |  M07   | 17272995 |           |
| LASST060000000000006 | 2002 |  M06   | 17266132 |           |
| LASST060000000000006 | 2002 |  M05   | 17256450 |           |
| LASST060000000000006 | 2002 |  M04   | 17245819 |           |
| LASST060000000000006 | 2002 |  M03   | 17235515 |           |
| LASST060000000000006 | 2002 |  M02   | 17224746 |           |
| LASST060000000000006 | 2002 |  M01   | 17211457 |           |
| LASST060000000000006 | 2001 |  M12   | 17196546 |           |
| LASST060000000000006 | 2001 |  M11   | 17181235 |           |
| LASST060000000000006 | 2001 |  M10   | 17164421 |           |
| LASST060000000000006 | 2001 |  M09   | 17145088 |           |
| LASST060000000000006 | 2001 |  M08   | 17126405 |           |
| LASST060000000000006 | 2001 |  M07   | 17110734 |           |
| LASST060000000000006 | 2001 |  M06   | 17101431 |           |
| LASST060000000000006 | 2001 |  M05   | 17100740 |           |
| LASST060000000000006 | 2001 |  M04   | 17103944 |           |
| LASST060000000000006 | 2001 |  M03   | 17104065 |           |
| LASST060000000000006 | 2001 |  M02   | 17093194 |           |
| LASST060000000000006 | 2001 |  M01   | 17070072 |           |
| LASST060000000000006 | 2000 |  M12   | 17036809 |           |
| LASST060000000000006 | 2000 |  M11   | 16997809 |           |
| LASST060000000000006 | 2000 |  M10   | 16959864 |           |
| LASST060000000000006 | 2000 |  M09   | 16927979 |           |
| LASST060000000000006 | 2000 |  M08   | 16903091 |           |
| LASST060000000000006 | 2000 |  M07   | 16883614 |           |
| LASST060000000000006 | 2000 |  M06   | 16866287 |           |
| LASST060000000000006 | 2000 |  M05   | 16844925 |           |
| LASST060000000000006 | 2000 |  M04   | 16815943 |           |
| LASST060000000000006 | 2000 |  M03   | 16778343 |           |
| LASST060000000000006 | 2000 |  M02   | 16732795 |           |
| LASST060000000000006 | 2000 |  M01   | 16680246 |           |
| LASST060000000000006 | 1999 |  M12   | 16624457 |           |
| LASST060000000000006 | 1999 |  M11   | 16571553 |           |
| LASST060000000000006 | 1999 |  M10   | 16524747 |           |
| LASST060000000000006 | 1999 |  M09   | 16485582 |           |
| LASST060000000000006 | 1999 |  M08   | 16451416 |           |
| LASST060000000000006 | 1999 |  M07   | 16419117 |           |
| LASST060000000000006 | 1999 |  M06   | 16387076 |           |
| LASST060000000000006 | 1999 |  M05   | 16356903 |           |
| LASST060000000000006 | 1999 |  M04   | 16330728 |           |
| LASST060000000000006 | 1999 |  M03   | 16309455 |           |
| LASST060000000000006 | 1999 |  M02   | 16294579 |           |
| LASST060000000000006 | 1999 |  M01   | 16285394 |           |
+----------------------+------+--------+----------+-----------+
