+----------------------+------+--------+-------+-----------+
|      series id       | year | period | value | footnotes |
+----------------------+------+--------+-------+-----------+
| LASST080000000000003 | 2008 |  M12   |  5.9  |           |
| LASST080000000000003 | 2008 |  M11   |  5.6  |           |
| LASST080000000000003 | 2008 |  M10   |  5.4  |           |
| LASST080000000000003 | 2008 |  M09   |  5.2  |           |
| LASST080000000000003 | 2008 |  M08   |  5.0  |           |
| LASST080000000000003 | 2008 |  M07   |  4.9  |           |
| LASST080000000000003 | 2008 |  M06   |  4.7  |           |
| LASST080000000000003 | 2008 |  M05   |  4.5  |           |
| LASST080000000000003 | 2008 |  M04   |  4.4  |           |
| LASST080000000000003 | 2008 |  M03   |  4.3  |           |
| LASST080000000000003 | 2008 |  M02   |  4.2  |           |
| LASST080000000000003 | 2008 |  M01   |  4.1  |           |
| LASST080000000000003 | 2007 |  M12   |  4.1  |           |
| LASST080000000000003 | 2007 |  M11   |  4.0  |           |
| LASST080000000000003 | 2007 |  M10   |  3.9  |           |
| LASST080000000000003 | 2007 |  M09   |  3.8  |           |
| LASST080000000000003 | 2007 |  M08   |  3.7  |           |
| LASST080000000000003 | 2007 |  M07   |  3.6  |           |
| LASST080000000000003 | 2007 |  M06   |  3.6  |           |
| LASST080000000000003 | 2007 |  M05   |  3.5  |           |
| LASST080000000000003 | 2007 |  M04   |  3.5  |           |
| LASST080000000000003 | 2007 |  M03   |  3.6  |           |
| LASST080000000000003 | 2007 |  M02   |  3.7  |           |
| LASST080000000000003 | 2007 |  M01   |  3.7  |           |
| LASST080000000000003 | 2006 |  M12   |  3.8  |           |
| LASST080000000000003 | 2006 |  M11   |  3.9  |           |
| LASST080000000000003 | 2006 |  M10   |  4.1  |           |
| LASST080000000000003 | 2006 |  M09   |  4.2  |           |
| LASST080000000000003 | 2006 |  M08   |  4.3  |           |
| LASST080000000000003 | 2006 |  M07   |  4.4  |           |
| LASST080000000000003 | 2006 |  M06   |  4.4  |           |
| LASST080000000000003 | 2006 |  M05   |  4.4  |           |
