+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST100000000000006 | 2018 |  M12   | 483403 |           |
| LASST100000000000006 | 2018 |  M11   | 483392 |           |
| LASST100000000000006 | 2018 |  M10   | 483335 |           |
| LASST100000000000006 | 2018 |  M09   | 483143 |           |
| LASST100000000000006 | 2018 |  M08   | 482955 |           |
| LASST100000000000006 | 2018 |  M07   | 482837 |           |
| LASST100000000000006 | 2018 |  M06   | 482657 |           |
| LASST100000000000006 | 2018 |  M05   | 482441 |           |
| LASST100000000000006 | 2018 |  M04   | 482074 |           |
| LASST100000000000006 | 2018 |  M03   | 481526 |           |
| LASST100000000000006 | 2018 |  M02   | 480844 |           |
| LASST100000000000006 | 2018 |  M01   | 480151 |           |
| LASST100000000000006 | 2017 |  M12   | 479533 |           |
| LASST100000000000006 | 2017 |  M11   | 479011 |           |
| LASST100000000000006 | 2017 |  M10   | 478551 |           |
| LASST100000000000006 | 2017 |  M09   | 478109 |           |
| LASST100000000000006 | 2017 |  M08   | 477658 |           |
| LASST100000000000006 | 2017 |  M07   | 477182 |           |
| LASST100000000000006 | 2017 |  M06   | 476690 |           |
| LASST100000000000006 | 2017 |  M05   | 476196 |           |
| LASST100000000000006 | 2017 |  M04   | 475682 |           |
| LASST100000000000006 | 2017 |  M03   | 475130 |           |
| LASST100000000000006 | 2017 |  M02   | 474528 |           |
| LASST100000000000006 | 2017 |  M01   | 473876 |           |
| LASST100000000000006 | 2016 |  M12   | 473241 |           |
| LASST100000000000006 | 2016 |  M11   | 472703 |           |
| LASST100000000000006 | 2016 |  M10   | 472317 |           |
| LASST100000000000006 | 2016 |  M09   | 472103 |           |
| LASST100000000000006 | 2016 |  M08   | 472044 |           |
| LASST100000000000006 | 2016 |  M07   | 472096 |           |
| LASST100000000000006 | 2016 |  M06   | 472191 |           |
| LASST100000000000006 | 2016 |  M05   | 472281 |           |
| LASST100000000000006 | 2016 |  M04   | 472348 |           |
| LASST100000000000006 | 2016 |  M03   | 472367 |           |
