+----------------------+------+--------+----------+-----------+
|      series id       | year | period |  value   | footnotes |
+----------------------+------+--------+----------+-----------+
| LASST120000000000006 | 2018 |  M12   | 10291323 |           |
| LASST120000000000006 | 2018 |  M11   | 10292048 |           |
| LASST120000000000006 | 2018 |  M10   | 10286418 |           |
| LASST120000000000006 | 2018 |  M09   | 10266517 |           |
| LASST120000000000006 | 2018 |  M08   | 10244189 |           |
| LASST120000000000006 | 2018 |  M07   | 10226249 |           |
| LASST120000000000006 | 2018 |  M06   | 10213752 |           |
| LASST120000000000006 | 2018 |  M05   | 10206984 |           |
| LASST120000000000006 | 2018 |  M04   | 10199404 |           |
| LASST120000000000006 | 2018 |  M03   | 10187594 |           |
| LASST120000000000006 | 2018 |  M02   | 10172742 |           |
| LASST120000000000006 | 2018 |  M01   | 10159334 |           |
| LASST120000000000006 | 2017 |  M12   | 10149102 |           |
| LASST120000000000006 | 2017 |  M11   | 10141155 |           |
| LASST120000000000006 | 2017 |  M10   | 10134324 |           |
| LASST120000000000006 | 2017 |  M09   | 10127854 |           |
| LASST120000000000006 | 2017 |  M08   | 10121177 |           |
| LASST120000000000006 | 2017 |  M07   | 10112304 |           |
| LASST120000000000006 | 2017 |  M06   | 10100596 |           |
| LASST120000000000006 | 2017 |  M05   | 10086691 |           |
| LASST120000000000006 | 2017 |  M04   | 10069640 |           |
| LASST120000000000006 | 2017 |  M03   | 10049598 |           |
| LASST120000000000006 | 2017 |  M02   | 10026652 |           |
| LASST120000000000006 | 2017 |  M01   | 10000851 |           |
| LASST120000000000006 | 2016 |  M12   | 9973977  |           |
| LASST120000000000006 | 2016 |  M11   | 9946617  |           |
| LASST120000000000006 | 2016 |  M10   | 9918370  |           |
| LASST120000000000006 | 2016 |  M09   | 9887910  |           |
| LASST120000000000006 | 2016 |  M08   | 9855426  |           |
| LASST120000000000006 | 2016 |  M07   | 9824055  |           |
| LASST120000000000006 | 2016 |  M06   | 9796353  |           |
| LASST120000000000006 | 2016 |  M05   | 9774250  |           |
| LASST120000000000006 | 2016 |  M04   | 9758241  |           |
| LASST120000000000006 | 2016 |  M03   | 9745933  |           |
| LASST120000000000006 | 2016 |  M02   | 9731986  |           |
| LASST120000000000006 | 2016 |  M01   | 9712867  |           |
| LASST120000000000006 | 2015 |  M12   | 9688552  |           |
| LASST120000000000006 | 2015 |  M11   | 9661262  |           |
| LASST120000000000006 | 2015 |  M10   | 9635999  |           |
| LASST120000000000006 | 2015 |  M09   | 9617957  |           |
| LASST120000000000006 | 2015 |  M08   | 9607267  |           |
| LASST120000000000006 | 2015 |  M07   | 9600486  |           |
| LASST120000000000006 | 2015 |  M06   | 9595542  |           |
| LASST120000000000006 | 2015 |  M05   | 9590375  |           |
| LASST120000000000006 | 2015 |  M04   | 9583883  |           |
| LASST120000000000006 | 2015 |  M03   | 9578984  |           |
| LASST120000000000006 | 2015 |  M02   | 9578608  |           |
| LASST120000000000006 | 2015 |  M01   | 9582883  |           |
| LASST120000000000006 | 2014 |  M12   | 9589346  |           |
| LASST120000000000006 | 2014 |  M11   | 9595288  |           |
| LASST120000000000006 | 2014 |  M10   | 9596758  |           |
| LASST120000000000006 | 2014 |  M09   | 9590936  |           |
| LASST120000000000006 | 2014 |  M08   | 9581024  |           |
| LASST120000000000006 | 2014 |  M07   | 9572055  |           |
| LASST120000000000006 | 2014 |  M06   | 9566095  |           |
| LASST120000000000006 | 2014 |  M05   | 9562152  |           |
| LASST120000000000006 | 2014 |  M04   | 9558358  |           |
| LASST120000000000006 | 2014 |  M03   | 9548725  |           |
| LASST120000000000006 | 2014 |  M02   | 9530587  |           |
| LASST120000000000006 | 2014 |  M01   | 9507295  |           |
| LASST120000000000006 | 2013 |  M12   | 9492133  |           |
| LASST120000000000006 | 2013 |  M11   | 9474475  |           |
| LASST120000000000006 | 2013 |  M10   | 9466257  |           |
| LASST120000000000006 | 2013 |  M09   | 9467499  |           |
| LASST120000000000006 | 2013 |  M08   | 9472085  |           |
| LASST120000000000006 | 2013 |  M07   | 9471902  |           |
| LASST120000000000006 | 2013 |  M06   | 9464347  |           |
| LASST120000000000006 | 2013 |  M05   | 9451917  |           |
| LASST120000000000006 | 2013 |  M04   | 9438181  |           |
| LASST120000000000006 | 2013 |  M03   | 9428809  |           |
| LASST120000000000006 | 2013 |  M02   | 9428334  |           |
| LASST120000000000006 | 2013 |  M01   | 9432835  |           |
| LASST120000000000006 | 2012 |  M12   | 9443197  |           |
| LASST120000000000006 | 2012 |  M11   | 9441024  |           |
| LASST120000000000006 | 2012 |  M10   | 9432438  |           |
| LASST120000000000006 | 2012 |  M09   | 9418399  |           |
| LASST120000000000006 | 2012 |  M08   | 9401895  |           |
| LASST120000000000006 | 2012 |  M07   | 9387003  |           |
| LASST120000000000006 | 2012 |  M06   | 9373314  |           |
| LASST120000000000006 | 2012 |  M05   | 9360799  |           |
| LASST120000000000006 | 2012 |  M04   | 9351008  |           |
| LASST120000000000006 | 2012 |  M03   | 9343664  |           |
| LASST120000000000006 | 2012 |  M02   | 9337939  |           |
| LASST120000000000006 | 2012 |  M01   | 9335794  |           |
| LASST120000000000006 | 2011 |  M12   | 9336389  |           |
| LASST120000000000006 | 2011 |  M11   | 9334508  |           |
| LASST120000000000006 | 2011 |  M10   | 9326979  |           |
| LASST120000000000006 | 2011 |  M09   | 9314616  |           |
| LASST120000000000006 | 2011 |  M08   | 9300806  |           |
| LASST120000000000006 | 2011 |  M07   | 9288470  |           |
| LASST120000000000006 | 2011 |  M06   | 9280695  |           |
| LASST120000000000006 | 2011 |  M05   | 9278592  |           |
| LASST120000000000006 | 2011 |  M04   | 9280607  |           |
| LASST120000000000006 | 2011 |  M03   | 9284110  |           |
| LASST120000000000006 | 2011 |  M02   | 9285256  |           |
| LASST120000000000006 | 2011 |  M01   | 9283526  |           |
| LASST120000000000006 | 2010 |  M12   | 9280528  |           |
| LASST120000000000006 | 2010 |  M11   | 9276191  |           |
| LASST120000000000006 | 2010 |  M10   | 9268067  |           |
| LASST120000000000006 | 2010 |  M09   | 9256982  |           |
| LASST120000000000006 | 2010 |  M08   | 9244915  |           |
| LASST120000000000006 | 2010 |  M07   | 9232148  |           |
| LASST120000000000006 | 2010 |  M06   | 9219282  |           |
| LASST120000000000006 | 2010 |  M05   | 9203212  |           |
| LASST120000000000006 | 2010 |  M04   | 9181288  |           |
| LASST120000000000006 | 2010 |  M03   | 9153821  |           |
| LASST120000000000006 | 2010 |  M02   | 9121821  |           |
| LASST120000000000006 | 2010 |  M01   | 9087605  |           |
| LASST120000000000006 | 2009 |  M12   | 9057975  |           |
| LASST120000000000006 | 2009 |  M11   | 9041529  |           |
| LASST120000000000006 | 2009 |  M10   | 9041413  |           |
| LASST120000000000006 | 2009 |  M09   | 9053826  |           |
| LASST120000000000006 | 2009 |  M08   | 9071632  |           |
| LASST120000000000006 | 2009 |  M07   | 9090250  |           |
| LASST120000000000006 | 2009 |  M06   | 9105647  |           |
| LASST120000000000006 | 2009 |  M05   | 9117789  |           |
| LASST120000000000006 | 2009 |  M04   | 9128564  |           |
| LASST120000000000006 | 2009 |  M03   | 9140524  |           |
| LASST120000000000006 | 2009 |  M02   | 9156984  |           |
| LASST120000000000006 | 2009 |  M01   | 9177322  |           |
+----------------------+------+--------+----------+-----------+
