+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST160000000000006 | 2008 |  M12   | 755248 |           |
| LASST160000000000006 | 2008 |  M11   | 756613 |           |
| LASST160000000000006 | 2008 |  M10   | 757850 |           |
| LASST160000000000006 | 2008 |  M09   | 759054 |           |
| LASST160000000000006 | 2008 |  M08   | 760211 |           |
| LASST160000000000006 | 2008 |  M07   | 761068 |           |
| LASST160000000000006 | 2008 |  M06   | 761212 |           |
| LASST160000000000006 | 2008 |  M05   | 760206 |           |
| LASST160000000000006 | 2008 |  M04   | 756645 |           |
| LASST160000000000006 | 2008 |  M03   | 744450 |           |
| LASST160000000000006 | 2008 |  M02   | 745998 |           |
| LASST160000000000006 | 2008 |  M01   | 748137 |           |
| LASST160000000000006 | 2007 |  M12   | 750563 |           |
| LASST160000000000006 | 2007 |  M11   | 752911 |           |
| LASST160000000000006 | 2007 |  M10   | 754883 |           |
| LASST160000000000006 | 2007 |  M09   | 756178 |           |
| LASST160000000000006 | 2007 |  M08   | 756654 |           |
| LASST160000000000006 | 2007 |  M07   | 756445 |           |
| LASST160000000000006 | 2007 |  M06   | 755853 |           |
| LASST160000000000006 | 2007 |  M05   | 755069 |           |
| LASST160000000000006 | 2007 |  M04   | 754126 |           |
| LASST160000000000006 | 2007 |  M03   | 753201 |           |
| LASST160000000000006 | 2007 |  M02   | 752348 |           |
| LASST160000000000006 | 2007 |  M01   | 751570 |           |
| LASST160000000000006 | 2006 |  M12   | 750862 |           |
| LASST160000000000006 | 2006 |  M11   | 750158 |           |
| LASST160000000000006 | 2006 |  M10   | 749388 |           |
| LASST160000000000006 | 2006 |  M09   | 748596 |           |
| LASST160000000000006 | 2006 |  M08   | 747856 |           |
| LASST160000000000006 | 2006 |  M07   | 747213 |           |
| LASST160000000000006 | 2006 |  M06   | 746787 |           |
| LASST160000000000006 | 2006 |  M05   | 746498 |           |
| LASST160000000000006 | 2006 |  M04   | 746086 |           |
| LASST160000000000006 | 2006 |  M03   | 745345 |           |
| LASST160000000000006 | 2006 |  M02   | 744226 |           |
| LASST160000000000006 | 2006 |  M01   | 742772 |           |
| LASST160000000000006 | 2005 |  M12   | 741136 |           |
| LASST160000000000006 | 2005 |  M11   | 739524 |           |
| LASST160000000000006 | 2005 |  M10   | 738052 |           |
| LASST160000000000006 | 2005 |  M09   | 736753 |           |
| LASST160000000000006 | 2005 |  M08   | 735471 |           |
| LASST160000000000006 | 2005 |  M07   | 734006 |           |
| LASST160000000000006 | 2005 |  M06   | 732176 |           |
| LASST160000000000006 | 2005 |  M05   | 730002 |           |
| LASST160000000000006 | 2005 |  M04   | 727665 |           |
| LASST160000000000006 | 2005 |  M03   | 725194 |           |
| LASST160000000000006 | 2005 |  M02   | 722552 |           |
| LASST160000000000006 | 2005 |  M01   | 719723 |           |
| LASST160000000000006 | 2004 |  M12   | 716759 |           |
| LASST160000000000006 | 2004 |  M11   | 713744 |           |
| LASST160000000000006 | 2004 |  M10   | 710803 |           |
| LASST160000000000006 | 2004 |  M09   | 707975 |           |
| LASST160000000000006 | 2004 |  M08   | 705340 |           |
| LASST160000000000006 | 2004 |  M07   | 702963 |           |
| LASST160000000000006 | 2004 |  M06   | 700795 |           |
| LASST160000000000006 | 2004 |  M05   | 698840 |           |
| LASST160000000000006 | 2004 |  M04   | 697137 |           |
| LASST160000000000006 | 2004 |  M03   | 695712 |           |
| LASST160000000000006 | 2004 |  M02   | 694528 |           |
| LASST160000000000006 | 2004 |  M01   | 693480 |           |
| LASST160000000000006 | 2003 |  M12   | 692442 |           |
| LASST160000000000006 | 2003 |  M11   | 691400 |           |
| LASST160000000000006 | 2003 |  M10   | 690432 |           |
| LASST160000000000006 | 2003 |  M09   | 689674 |           |
| LASST160000000000006 | 2003 |  M08   | 689253 |           |
| LASST160000000000006 | 2003 |  M07   | 689161 |           |
| LASST160000000000006 | 2003 |  M06   | 689355 |           |
| LASST160000000000006 | 2003 |  M05   | 689685 |           |
| LASST160000000000006 | 2003 |  M04   | 689908 |           |
| LASST160000000000006 | 2003 |  M03   | 689879 |           |
| LASST160000000000006 | 2003 |  M02   | 689569 |           |
| LASST160000000000006 | 2003 |  M01   | 689016 |           |
| LASST160000000000006 | 2002 |  M12   | 688276 |           |
| LASST160000000000006 | 2002 |  M11   | 687433 |           |
| LASST160000000000006 | 2002 |  M10   | 686550 |           |
| LASST160000000000006 | 2002 |  M09   | 685713 |           |
| LASST160000000000006 | 2002 |  M08   | 684966 |           |
| LASST160000000000006 | 2002 |  M07   | 684374 |           |
| LASST160000000000006 | 2002 |  M06   | 683942 |           |
| LASST160000000000006 | 2002 |  M05   | 683588 |           |
| LASST160000000000006 | 2002 |  M04   | 683265 |           |
| LASST160000000000006 | 2002 |  M03   | 682951 |           |
| LASST160000000000006 | 2002 |  M02   | 682694 |           |
| LASST160000000000006 | 2002 |  M01   | 682569 |           |
| LASST160000000000006 | 2001 |  M12   | 682560 |           |
| LASST160000000000006 | 2001 |  M11   | 682547 |           |
| LASST160000000000006 | 2001 |  M10   | 682403 |           |
| LASST160000000000006 | 2001 |  M09   | 682002 |           |
| LASST160000000000006 | 2001 |  M08   | 681270 |           |
| LASST160000000000006 | 2001 |  M07   | 680187 |           |
| LASST160000000000006 | 2001 |  M06   | 678710 |           |
| LASST160000000000006 | 2001 |  M05   | 676904 |           |
| LASST160000000000006 | 2001 |  M04   | 674888 |           |
| LASST160000000000006 | 2001 |  M03   | 672745 |           |
| LASST160000000000006 | 2001 |  M02   | 670534 |           |
| LASST160000000000006 | 2001 |  M01   | 668377 |           |
| LASST160000000000006 | 2000 |  M12   | 666404 |           |
| LASST160000000000006 | 2000 |  M11   | 664677 |           |
| LASST160000000000006 | 2000 |  M10   | 663216 |           |
| LASST160000000000006 | 2000 |  M09   | 662019 |           |
| LASST160000000000006 | 2000 |  M08   | 660985 |           |
| LASST160000000000006 | 2000 |  M07   | 660000 |           |
| LASST160000000000006 | 2000 |  M06   | 659082 |           |
| LASST160000000000006 | 2000 |  M05   | 658198 |           |
| LASST160000000000006 | 2000 |  M04   | 657235 |           |
| LASST160000000000006 | 2000 |  M03   | 656194 |           |
| LASST160000000000006 | 2000 |  M02   | 655120 |           |
| LASST160000000000006 | 2000 |  M01   | 654084 |           |
| LASST160000000000006 | 1999 |  M12   | 653231 |           |
| LASST160000000000006 | 1999 |  M11   | 652634 |           |
| LASST160000000000006 | 1999 |  M10   | 652187 |           |
| LASST160000000000006 | 1999 |  M09   | 651712 |           |
| LASST160000000000006 | 1999 |  M08   | 651148 |           |
| LASST160000000000006 | 1999 |  M07   | 650568 |           |
| LASST160000000000006 | 1999 |  M06   | 649976 |           |
| LASST160000000000006 | 1999 |  M05   | 649611 |           |
| LASST160000000000006 | 1999 |  M04   | 649840 |           |
| LASST160000000000006 | 1999 |  M03   | 650790 |           |
| LASST160000000000006 | 1999 |  M02   | 652302 |           |
| LASST160000000000006 | 1999 |  M01   | 653911 |           |
+----------------------+------+--------+--------+-----------+
