+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST220000000000006 | 2018 |  M12   | 2099773 |           |
| LASST220000000000006 | 2018 |  M11   | 2099349 |           |
| LASST220000000000006 | 2018 |  M10   | 2098880 |           |
| LASST220000000000006 | 2018 |  M09   | 2099159 |           |
| LASST220000000000006 | 2018 |  M08   | 2100284 |           |
| LASST220000000000006 | 2018 |  M07   | 2102417 |           |
| LASST220000000000006 | 2018 |  M06   | 2104635 |           |
| LASST220000000000006 | 2018 |  M05   | 2106604 |           |
| LASST220000000000006 | 2018 |  M04   | 2107927 |           |
| LASST220000000000006 | 2018 |  M03   | 2108266 |           |
| LASST220000000000006 | 2018 |  M02   | 2107910 |           |
| LASST220000000000006 | 2018 |  M01   | 2107710 |           |
| LASST220000000000006 | 2017 |  M12   | 2107699 |           |
| LASST220000000000006 | 2017 |  M11   | 2107395 |           |
| LASST220000000000006 | 2017 |  M10   | 2106441 |           |
| LASST220000000000006 | 2017 |  M09   | 2104955 |           |
| LASST220000000000006 | 2017 |  M08   | 2103165 |           |
| LASST220000000000006 | 2017 |  M07   | 2101485 |           |
| LASST220000000000006 | 2017 |  M06   | 2100536 |           |
| LASST220000000000006 | 2017 |  M05   | 2100558 |           |
| LASST220000000000006 | 2017 |  M04   | 2101113 |           |
| LASST220000000000006 | 2017 |  M03   | 2101782 |           |
| LASST220000000000006 | 2017 |  M02   | 2102524 |           |
| LASST220000000000006 | 2017 |  M01   | 2103184 |           |
| LASST220000000000006 | 2016 |  M12   | 2104152 |           |
| LASST220000000000006 | 2016 |  M11   | 2105970 |           |
| LASST220000000000006 | 2016 |  M10   | 2108692 |           |
| LASST220000000000006 | 2016 |  M09   | 2112044 |           |
| LASST220000000000006 | 2016 |  M08   | 2115786 |           |
| LASST220000000000006 | 2016 |  M07   | 2119717 |           |
| LASST220000000000006 | 2016 |  M06   | 2123553 |           |
| LASST220000000000006 | 2016 |  M05   | 2127338 |           |
| LASST220000000000006 | 2016 |  M04   | 2131078 |           |
| LASST220000000000006 | 2016 |  M03   | 2134593 |           |
| LASST220000000000006 | 2016 |  M02   | 2137172 |           |
| LASST220000000000006 | 2016 |  M01   | 2138440 |           |
| LASST220000000000006 | 2015 |  M12   | 2138876 |           |
| LASST220000000000006 | 2015 |  M11   | 2139068 |           |
| LASST220000000000006 | 2015 |  M10   | 2140141 |           |
| LASST220000000000006 | 2015 |  M09   | 2143090 |           |
| LASST220000000000006 | 2015 |  M08   | 2147880 |           |
| LASST220000000000006 | 2015 |  M07   | 2153822 |           |
| LASST220000000000006 | 2015 |  M06   | 2160313 |           |
| LASST220000000000006 | 2015 |  M05   | 2166701 |           |
| LASST220000000000006 | 2015 |  M04   | 2172550 |           |
| LASST220000000000006 | 2015 |  M03   | 2177919 |           |
| LASST220000000000006 | 2015 |  M02   | 2182755 |           |
| LASST220000000000006 | 2015 |  M01   | 2186820 |           |
| LASST220000000000006 | 2014 |  M12   | 2189469 |           |
| LASST220000000000006 | 2014 |  M11   | 2189785 |           |
| LASST220000000000006 | 2014 |  M10   | 2186761 |           |
| LASST220000000000006 | 2014 |  M09   | 2179721 |           |
| LASST220000000000006 | 2014 |  M08   | 2169595 |           |
| LASST220000000000006 | 2014 |  M07   | 2158084 |           |
| LASST220000000000006 | 2014 |  M06   | 2146419 |           |
| LASST220000000000006 | 2014 |  M05   | 2135363 |           |
| LASST220000000000006 | 2014 |  M04   | 2125752 |           |
| LASST220000000000006 | 2014 |  M03   | 2117647 |           |
| LASST220000000000006 | 2014 |  M02   | 2111132 |           |
| LASST220000000000006 | 2014 |  M01   | 2106326 |           |
| LASST220000000000006 | 2013 |  M12   | 2104957 |           |
| LASST220000000000006 | 2013 |  M11   | 2102929 |           |
| LASST220000000000006 | 2013 |  M10   | 2102349 |           |
| LASST220000000000006 | 2013 |  M09   | 2102914 |           |
| LASST220000000000006 | 2013 |  M08   | 2103643 |           |
| LASST220000000000006 | 2013 |  M07   | 2103477 |           |
| LASST220000000000006 | 2013 |  M06   | 2102566 |           |
| LASST220000000000006 | 2013 |  M05   | 2101514 |           |
| LASST220000000000006 | 2013 |  M04   | 2100337 |           |
| LASST220000000000006 | 2013 |  M03   | 2099138 |           |
| LASST220000000000006 | 2013 |  M02   | 2097870 |           |
| LASST220000000000006 | 2013 |  M01   | 2095766 |           |
| LASST220000000000006 | 2012 |  M12   | 2092629 |           |
| LASST220000000000006 | 2012 |  M11   | 2088848 |           |
| LASST220000000000006 | 2012 |  M10   | 2085197 |           |
| LASST220000000000006 | 2012 |  M09   | 2082392 |           |
| LASST220000000000006 | 2012 |  M08   | 2080892 |           |
| LASST220000000000006 | 2012 |  M07   | 2080660 |           |
| LASST220000000000006 | 2012 |  M06   | 2080624 |           |
| LASST220000000000006 | 2012 |  M05   | 2079852 |           |
| LASST220000000000006 | 2012 |  M04   | 2078081 |           |
| LASST220000000000006 | 2012 |  M03   | 2075571 |           |
| LASST220000000000006 | 2012 |  M02   | 2073080 |           |
| LASST220000000000006 | 2012 |  M01   | 2071658 |           |
| LASST220000000000006 | 2011 |  M12   | 2071368 |           |
| LASST220000000000006 | 2011 |  M11   | 2071370 |           |
| LASST220000000000006 | 2011 |  M10   | 2070931 |           |
| LASST220000000000006 | 2011 |  M09   | 2069983 |           |
| LASST220000000000006 | 2011 |  M08   | 2068989 |           |
| LASST220000000000006 | 2011 |  M07   | 2068547 |           |
| LASST220000000000006 | 2011 |  M06   | 2069314 |           |
| LASST220000000000006 | 2011 |  M05   | 2071476 |           |
| LASST220000000000006 | 2011 |  M04   | 2074660 |           |
| LASST220000000000006 | 2011 |  M03   | 2078080 |           |
| LASST220000000000006 | 2011 |  M02   | 2080850 |           |
| LASST220000000000006 | 2011 |  M01   | 2082966 |           |
