+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST280000000000006 | 2008 |  M12   | 1288234 |           |
| LASST280000000000006 | 2008 |  M11   | 1291758 |           |
| LASST280000000000006 | 2008 |  M10   | 1295854 |           |
| LASST280000000000006 | 2008 |  M09   | 1300163 |           |
| LASST280000000000006 | 2008 |  M08   | 1304395 |           |
| LASST280000000000006 | 2008 |  M07   | 1308114 |           |
| LASST280000000000006 | 2008 |  M06   | 1311051 |           |
| LASST280000000000006 | 2008 |  M05   | 1313458 |           |
| LASST280000000000006 | 2008 |  M04   | 1315651 |           |
| LASST280000000000006 | 2008 |  M03   | 1317492 |           |
| LASST280000000000006 | 2008 |  M02   | 1318726 |           |
| LASST280000000000006 | 2008 |  M01   | 1319123 |           |
| LASST280000000000006 | 2007 |  M12   | 1318437 |           |
| LASST280000000000006 | 2007 |  M11   | 1316628 |           |
| LASST280000000000006 | 2007 |  M10   | 1313674 |           |
| LASST280000000000006 | 2007 |  M09   | 1309779 |           |
| LASST280000000000006 | 2007 |  M08   | 1305581 |           |
| LASST280000000000006 | 2007 |  M07   | 1301793 |           |
| LASST280000000000006 | 2007 |  M06   | 1298818 |           |
| LASST280000000000006 | 2007 |  M05   | 1296723 |           |
| LASST280000000000006 | 2007 |  M04   | 1295669 |           |
| LASST280000000000006 | 2007 |  M03   | 1295532 |           |
| LASST280000000000006 | 2007 |  M02   | 1295798 |           |
| LASST280000000000006 | 2007 |  M01   | 1296001 |           |
| LASST280000000000006 | 2006 |  M12   | 1295972 |           |
| LASST280000000000006 | 2006 |  M11   | 1295503 |           |
| LASST280000000000006 | 2006 |  M10   | 1294625 |           |
| LASST280000000000006 | 2006 |  M09   | 1293378 |           |
| LASST280000000000006 | 2006 |  M08   | 1291641 |           |
| LASST280000000000006 | 2006 |  M07   | 1289656 |           |
| LASST280000000000006 | 2006 |  M06   | 1287864 |           |
| LASST280000000000006 | 2006 |  M05   | 1286336 |           |
| LASST280000000000006 | 2006 |  M04   | 1285124 |           |
| LASST280000000000006 | 2006 |  M03   | 1284559 |           |
| LASST280000000000006 | 2006 |  M02   | 1286946 |           |
| LASST280000000000006 | 2006 |  M01   | 1288543 |           |
| LASST280000000000006 | 2005 |  M12   | 1294641 |           |
| LASST280000000000006 | 2005 |  M11   | 1306981 |           |
| LASST280000000000006 | 2005 |  M10   | 1309774 |           |
| LASST280000000000006 | 2005 |  M09   | 1321041 |           |
| LASST280000000000006 | 2005 |  M08   | 1323503 |           |
| LASST280000000000006 | 2005 |  M07   | 1323800 |           |
| LASST280000000000006 | 2005 |  M06   | 1323938 |           |
| LASST280000000000006 | 2005 |  M05   | 1323712 |           |
| LASST280000000000006 | 2005 |  M04   | 1322796 |           |
| LASST280000000000006 | 2005 |  M03   | 1321114 |           |
| LASST280000000000006 | 2005 |  M02   | 1319071 |           |
| LASST280000000000006 | 2005 |  M01   | 1317164 |           |
| LASST280000000000006 | 2004 |  M12   | 1315830 |           |
| LASST280000000000006 | 2004 |  M11   | 1315284 |           |
| LASST280000000000006 | 2004 |  M10   | 1315311 |           |
| LASST280000000000006 | 2004 |  M09   | 1315497 |           |
| LASST280000000000006 | 2004 |  M08   | 1315500 |           |
| LASST280000000000006 | 2004 |  M07   | 1314959 |           |
| LASST280000000000006 | 2004 |  M06   | 1313807 |           |
| LASST280000000000006 | 2004 |  M05   | 1312274 |           |
| LASST280000000000006 | 2004 |  M04   | 1310693 |           |
| LASST280000000000006 | 2004 |  M03   | 1309523 |           |
| LASST280000000000006 | 2004 |  M02   | 1308977 |           |
| LASST280000000000006 | 2004 |  M01   | 1308848 |           |
| LASST280000000000006 | 2003 |  M12   | 1308677 |           |
| LASST280000000000006 | 2003 |  M11   | 1308311 |           |
| LASST280000000000006 | 2003 |  M10   | 1307683 |           |
| LASST280000000000006 | 2003 |  M09   | 1306671 |           |
| LASST280000000000006 | 2003 |  M08   | 1305236 |           |
| LASST280000000000006 | 2003 |  M07   | 1303338 |           |
| LASST280000000000006 | 2003 |  M06   | 1301099 |           |
| LASST280000000000006 | 2003 |  M05   | 1298743 |           |
| LASST280000000000006 | 2003 |  M04   | 1296345 |           |
| LASST280000000000006 | 2003 |  M03   | 1293818 |           |
| LASST280000000000006 | 2003 |  M02   | 1291508 |           |
| LASST280000000000006 | 2003 |  M01   | 1289885 |           |
| LASST280000000000006 | 2002 |  M12   | 1288929 |           |
| LASST280000000000006 | 2002 |  M11   | 1288230 |           |
| LASST280000000000006 | 2002 |  M10   | 1287446 |           |
| LASST280000000000006 | 2002 |  M09   | 1286582 |           |
| LASST280000000000006 | 2002 |  M08   | 1285695 |           |
| LASST280000000000006 | 2002 |  M07   | 1285104 |           |
| LASST280000000000006 | 2002 |  M06   | 1284828 |           |
| LASST280000000000006 | 2002 |  M05   | 1284793 |           |
| LASST280000000000006 | 2002 |  M04   | 1285109 |           |
| LASST280000000000006 | 2002 |  M03   | 1285667 |           |
| LASST280000000000006 | 2002 |  M02   | 1286137 |           |
| LASST280000000000006 | 2002 |  M01   | 1286290 |           |
| LASST280000000000006 | 2001 |  M12   | 1286280 |           |
| LASST280000000000006 | 2001 |  M11   | 1286282 |           |
| LASST280000000000006 | 2001 |  M10   | 1286375 |           |
| LASST280000000000006 | 2001 |  M09   | 1286658 |           |
| LASST280000000000006 | 2001 |  M08   | 1287527 |           |
| LASST280000000000006 | 2001 |  M07   | 1289267 |           |
| LASST280000000000006 | 2001 |  M06   | 1291947 |           |
| LASST280000000000006 | 2001 |  M05   | 1295449 |           |
| LASST280000000000006 | 2001 |  M04   | 1299370 |           |
| LASST280000000000006 | 2001 |  M03   | 1303285 |           |
| LASST280000000000006 | 2001 |  M02   | 1306547 |           |
| LASST280000000000006 | 2001 |  M01   | 1308873 |           |
| LASST280000000000006 | 2000 |  M12   | 1310386 |           |
| LASST280000000000006 | 2000 |  M11   | 1311625 |           |
| LASST280000000000006 | 2000 |  M10   | 1313321 |           |
| LASST280000000000006 | 2000 |  M09   | 1315831 |           |
| LASST280000000000006 | 2000 |  M08   | 1318852 |           |
| LASST280000000000006 | 2000 |  M07   | 1321846 |           |
| LASST280000000000006 | 2000 |  M06   | 1324402 |           |
| LASST280000000000006 | 2000 |  M05   | 1325942 |           |
| LASST280000000000006 | 2000 |  M04   | 1325943 |           |
| LASST280000000000006 | 2000 |  M03   | 1324176 |           |
| LASST280000000000006 | 2000 |  M02   | 1320936 |           |
| LASST280000000000006 | 2000 |  M01   | 1316659 |           |
| LASST280000000000006 | 1999 |  M12   | 1311686 |           |
| LASST280000000000006 | 1999 |  M11   | 1306291 |           |
| LASST280000000000006 | 1999 |  M10   | 1300595 |           |
| LASST280000000000006 | 1999 |  M09   | 1294866 |           |
| LASST280000000000006 | 1999 |  M08   | 1289402 |           |
| LASST280000000000006 | 1999 |  M07   | 1284431 |           |
| LASST280000000000006 | 1999 |  M06   | 1280095 |           |
| LASST280000000000006 | 1999 |  M05   | 1276757 |           |
| LASST280000000000006 | 1999 |  M04   | 1274691 |           |
| LASST280000000000006 | 1999 |  M03   | 1273928 |           |
| LASST280000000000006 | 1999 |  M02   | 1274266 |           |
| LASST280000000000006 | 1999 |  M01   | 1275130 |           |
+----------------------+------+--------+---------+-----------+
