+----------------------+------+--------+-------+-----------+
|      series id       | year | period | value | footnotes |
+----------------------+------+--------+-------+-----------+
| LASST540000000000003 | 2018 |  M12   |  5.1  |           |
| LASST540000000000003 | 2018 |  M11   |  5.1  |           |
| LASST540000000000003 | 2018 |  M10   |  5.1  |           |
| LASST540000000000003 | 2018 |  M09   |  5.1  |           |
| LASST540000000000003 | 2018 |  M08   |  5.1  |           |
| LASST540000000000003 | 2018 |  M07   |  5.2  |           |
| LASST540000000000003 | 2018 |  M06   |  5.2  |           |
| LASST540000000000003 | 2018 |  M05   |  5.3  |           |
| LASST540000000000003 | 2018 |  M04   |  5.4  |           |
| LASST540000000000003 | 2018 |  M03   |  5.4  |           |
| LASST540000000000003 | 2018 |  M02   |  5.4  |           |
| LASST540000000000003 | 2018 |  M01   |  5.4  |           |
| LASST540000000000003 | 2017 |  M12   |  5.4  |           |
| LASST540000000000003 | 2017 |  M11   |  5.4  |           |
| LASST540000000000003 | 2017 |  M10   |  5.3  |           |
| LASST540000000000003 | 2017 |  M09   |  5.3  |           |
| LASST540000000000003 | 2017 |  M08   |  5.2  |           |
| LASST540000000000003 | 2017 |  M07   |  5.1  |           |
| LASST540000000000003 | 2017 |  M06   |  5.0  |           |
| LASST540000000000003 | 2017 |  M05   |  5.0  |           |
| LASST540000000000003 | 2017 |  M04   |  5.0  |           |
| LASST540000000000003 | 2017 |  M03   |  5.1  |           |
| LASST540000000000003 | 2017 |  M02   |  5.2  |           |
| LASST540000000000003 | 2017 |  M01   |  5.3  |           |
| LASST540000000000003 | 2016 |  M12   |  5.5  |           |
| LASST540000000000003 | 2016 |  M11   |  5.7  |           |
| LASST540000000000003 | 2016 |  M10   |  5.8  |           |
| LASST540000000000003 | 2016 |  M09   |  5.9  |           |
| LASST540000000000003 | 2016 |  M08   |  6.0  |           |
| LASST540000000000003 | 2016 |  M07   |  6.1  |           |
| LASST540000000000003 | 2016 |  M06   |  6.2  |           |
| LASST540000000000003 | 2016 |  M05   |  6.2  |           |
| LASST540000000000003 | 2016 |  M04   |  6.3  |           |
| LASST540000000000003 | 2016 |  M03   |  6.4  |           |
| LASST540000000000003 | 2016 |  M02   |  6.4  |           |
| LASST540000000000003 | 2016 |  M01   |  6.4  |           |
| LASST540000000000003 | 2015 |  M12   |  6.4  |           |
| LASST540000000000003 | 2015 |  M11   |  6.4  |           |
| LASST540000000000003 | 2015 |  M10   |  6.5  |           |
| LASST540000000000003 | 2015 |  M09   |  6.6  |           |
| LASST540000000000003 | 2015 |  M08   |  6.7  |           |
| LASST540000000000003 | 2015 |  M07   |  6.9  |           |
| LASST540000000000003 | 2015 |  M06   |  7.0  |           |
| LASST540000000000003 | 2015 |  M05   |  7.1  |           |
| LASST540000000000003 | 2015 |  M04   |  7.0  |           |
| LASST540000000000003 | 2015 |  M03   |  6.9  |           |
| LASST540000000000003 | 2015 |  M02   |  6.8  |           |
| LASST540000000000003 | 2015 |  M01   |  6.6  |           |
| LASST540000000000003 | 2014 |  M12   |  6.5  |           |
| LASST540000000000003 | 2014 |  M11   |  6.5  |           |
| LASST540000000000003 | 2014 |  M10   |  6.5  |           |
| LASST540000000000003 | 2014 |  M09   |  6.5  |           |
| LASST540000000000003 | 2014 |  M08   |  6.5  |           |
| LASST540000000000003 | 2014 |  M07   |  6.6  |           |
| LASST540000000000003 | 2014 |  M06   |  6.6  |           |
| LASST540000000000003 | 2014 |  M05   |  6.7  |           |
| LASST540000000000003 | 2014 |  M04   |  6.7  |           |
| LASST540000000000003 | 2014 |  M03   |  6.8  |           |
| LASST540000000000003 | 2014 |  M02   |  6.8  |           |
| LASST540000000000003 | 2014 |  M01   |  6.9  |           |
