Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Alaska,2004,12.7,,,Data not reported. Data unreliable.,0.0,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2001,9.4,,,Data not reported. Data unreliable.,0.32,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2000,7.1,,4.0,,-0.05,,0.0,
Alaska,2002,12.2,,,Not sufficient data. Data supressed to ensure confidentiality.,0.30000000000000004,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2011,14.2,,8.7,,0.22,,0.0,
Alaska,2006,11.1,,4.1,,-0.03,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,1999,7.5,,4.0,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2008,18.1,,12.5,,0.79,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2013,14.4,,9.2,,-0.17,,-0.15,
Alaska,2003,12.7,,,Data not reported. Data unreliable.,0.04,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2014,16.8,,10.6,,0.17,,0.15,
Alaska,2005,11.4,,,Data not reported. Data unreliable.,-0.1,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2007,10.1,,,Data not reported. Data unreliable.,-0.09,,,Not sufficient data. Data supressed to ensure confidentiality.
Alaska,2009,17.9,,12.5,,-0.01,,0.0,
Alaska,2012,17.4,,10.8,,0.23,,0.24,
Alaska,2010,11.6,,8.7,,-0.35000000000000003,,-0.30000000000000004,
Alaska,2015,16.0,,11.0,,-0.05,,0.04,
