Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Colorado,2008,14.8,,7.0,,0.01,,0.0,
Colorado,2006,12.8,,6.7,,0.01,,0.08,
Colorado,2005,12.7,,6.2,,0.17,,0.29,
Colorado,2014,16.3,,9.4,,0.05,,0.18,
Colorado,2007,14.7,,7.0,,0.15,,0.04,
Colorado,2000,7.9,,3.9,,-0.01,,0.05,
Colorado,2011,16.1,,8.0,,0.27,,0.36,
Colorado,2013,15.5,,8.0,,0.03,,0.04,
Colorado,2015,15.4,,8.7,,-0.06,,-0.07,
Colorado,1999,8.0,,3.7,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Colorado,2009,15.0,,7.7,,0.01,,0.1,
Colorado,2010,12.7,,5.9,,-0.15,,-0.23,
Colorado,2001,9.0,,4.2,,0.14,,0.08,
Colorado,2012,15.0,,7.7,,-0.07,,-0.04,
Colorado,2003,10.7,,4.5,,0.1,,0.07,
Colorado,2002,9.7,,4.2,,0.08,,0.0,
Colorado,2004,10.9,,4.8,,0.02,,0.07,
