Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
District of Columbia,2000,13.4,,7.7,,0.61,,0.5700000000000001,
District of Columbia,2002,10.9,,5.2,,-0.33,,-0.36,
District of Columbia,2006,17.8,,9.6,,0.30000000000000004,,0.23,
District of Columbia,2015,18.6,,14.5,,0.31,,0.54,
District of Columbia,2005,13.7,,7.8,,-0.12,,-0.17,
District of Columbia,2007,10.8,,5.2,,-0.39,,-0.46,
District of Columbia,1999,8.3,,4.9,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
District of Columbia,2014,14.2,,9.4,,-0.05,,0.09,
District of Columbia,2001,16.2,,8.1,,0.21,,0.05,
District of Columbia,2004,15.5,,9.4,,-0.14,,-0.12,
District of Columbia,2008,9.6,,5.1,,-0.11,,-0.02,
District of Columbia,2013,15.0,,8.6,,0.19,,0.18,
District of Columbia,2010,12.9,,5.8,,2.15,,,Not sufficient data. Data supressed to ensure confidentiality.
District of Columbia,2009,4.1,,,Not sufficient data. Data supressed to ensure confidentiality.,-0.5700000000000001,,,Not sufficient data. Data supressed to ensure confidentiality.
District of Columbia,2011,13.5,,8.0,,0.05,,0.38,
District of Columbia,2012,12.6,,7.3,,-0.07,,-0.09,
District of Columbia,2003,18.1,,10.7,,0.66,,1.06,
