Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Florida,2014,13.2,,7.2,,0.05,,0.09,
Florida,2005,13.5,,6.3,,0.02,,-0.11,
Florida,2004,13.2,,7.1,,0.06,,0.13,
Florida,2006,14.4,,6.9,,0.07,,0.1,
Florida,2002,11.8,,5.9,,0.08,,0.09,
Florida,1999,6.4,,2.6,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Florida,2008,16.2,,8.2,,0.05,,0.0,
Florida,2001,10.9,,5.4,,0.47,,0.5,
Florida,2003,12.4,,6.3,,0.05,,0.07,
Florida,2000,7.4,,3.6,,0.16,,0.38,
Florida,2015,16.2,,9.4,,0.23,,0.31,
Florida,2013,12.6,,6.6,,-0.05,,-0.04,
Florida,2009,16.7,,8.7,,0.03,,0.06,
Florida,2012,13.3,,6.9,,-0.14,,-0.18,
Florida,2010,16.4,,9.1,,-0.02,,0.05,
Florida,2011,15.4,,8.4,,-0.06,,-0.08,
Florida,2007,15.4,,8.2,,0.07,,0.19,
