Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Kansas,2008,8.0,,3.5,,-0.2,,-0.2,
Kansas,2002,6.4,,3.0,,0.21,,0.67,
Kansas,2001,5.3,,1.8,,0.33,,1.0,
Kansas,2005,9.1,,4.1,,0.07,,-0.07,
Kansas,2015,11.8,,5.4,,0.01,,-0.1,
Kansas,1999,3.4,,1.0,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Kansas,2003,7.1,,2.9,,0.11,,-0.03,
Kansas,2004,8.5,,4.4,,0.2,,0.52,
Kansas,2010,9.6,,3.8,,-0.14,,-0.31,
Kansas,2000,4.0,,0.9,,0.18,,-0.1,
Kansas,2013,12.0,,5.7,,0.04,,-0.1,
Kansas,2014,11.7,,6.0,,-0.03,,0.05,
Kansas,2012,11.5,,6.3,,0.14,,0.47,
Kansas,2006,9.5,,4.5,,0.04,,0.1,
Kansas,2007,10.0,,4.4,,0.05,,-0.02,
Kansas,2009,11.1,,5.5,,0.39,,0.5700000000000001,
Kansas,2011,10.1,,4.3,,0.05,,0.13,
