Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Kentucky,2000,5.9,,2.3,,0.2,,0.77,
Kentucky,2012,25.0,,15.5,,0.0,,-0.02,
Kentucky,2015,29.9,,21.0,,0.21,,0.25,
Kentucky,2005,15.3,,6.8,,0.2,,0.26,
Kentucky,2013,23.7,,15.5,,-0.05,,0.0,
Kentucky,2004,12.8,,5.4,,-0.06,,-0.05,
Kentucky,2010,23.6,,14.1,,0.31,,0.38,
Kentucky,2002,10.5,,4.4,,0.25,,0.26,
Kentucky,2007,16.7,,8.1,,-0.04,,0.01,
Kentucky,2003,13.6,,5.7,,0.30000000000000004,,0.30000000000000004,
Kentucky,2006,17.4,,8.0,,0.14,,0.18,
Kentucky,2008,17.9,,8.7,,0.07,,0.07,
Kentucky,2009,18.0,,10.2,,0.01,,0.17,
Kentucky,2011,25.0,,15.8,,0.06,,0.12,
Kentucky,2014,24.7,,16.8,,0.04,,0.08,
Kentucky,1999,4.9,,1.3,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Kentucky,2001,8.4,,3.5,,0.42,,0.52,
