Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Maine,2009,12.7,,8.7,,0.03,,0.06,
Maine,2002,10.9,,7.3,,0.68,,0.7000000000000001,
Maine,2006,12.0,,7.3,,-0.03,,-0.19,
Maine,2012,11.5,,7.9,,-0.03,,0.18,
Maine,1999,5.3,,2.1,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Maine,2007,12.4,,8.1,,0.03,,0.11,
Maine,2011,11.8,,6.7,,0.13,,-0.06,
Maine,2010,10.4,,7.1,,-0.18,,-0.18,
Maine,2005,12.4,,9.0,,0.13,,0.17,
Maine,2013,13.2,,9.9,,0.15,,0.25,
Maine,2004,11.0,,7.7,,0.07,,0.15,
Maine,2003,10.3,,6.7,,-0.06,,-0.08,
Maine,2015,21.2,,19.3,,0.26,,0.41,
Maine,2000,4.8,,3.2,,-0.09,,0.52,
Maine,2001,6.5,,4.3,,0.35000000000000003,,0.34,
Maine,2014,16.8,,13.7,,0.27,,0.38,
Maine,2008,12.3,,8.2,,-0.01,,0.01,
