Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Minnesota,2006,5.9,,3.0,,0.09,,0.07,
Minnesota,2015,10.6,,6.2,,0.1,,0.03,
Minnesota,2008,7.2,,4.3,,0.13,,0.26,
Minnesota,2012,8.9,,5.3,,-0.05,,0.0,
Minnesota,2011,9.4,,5.3,,0.29,,0.2,
Minnesota,2001,3.7,,1.9,,0.42,,0.73,
Minnesota,1999,2.8,,1.2,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Minnesota,2003,4.8,,2.1,,0.23,,0.11,
Minnesota,2010,7.3,,4.4,,-0.08,,-0.15,
Minnesota,2005,5.4,,2.8,,0.13,,0.08,
Minnesota,2000,2.6,,1.1,,-0.07,,-0.08,
Minnesota,2002,3.9,,1.9,,0.05,,0.0,
Minnesota,2013,9.6,,5.6,,0.08,,0.06,
Minnesota,2007,6.4,,3.4,,0.08,,0.13,
Minnesota,2004,4.8,,2.6,,0.0,,0.24,
Minnesota,2009,7.9,,5.2,,0.1,,0.21,
Minnesota,2014,9.6,,6.0,,0.0,,0.07,
