Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Mississippi,2005,8.8,,1.4,,0.07,,0.4,
Mississippi,2013,10.8,,3.4,,0.01,,-0.13,
Mississippi,2010,11.4,,3.3,,0.02,,-0.03,
Mississippi,2006,12.1,,2.3,,0.38,,0.64,
Mississippi,2011,10.7,,2.9,,-0.06,,-0.12,
Mississippi,2002,6.6,,0.9,,0.06,,0.0,
Mississippi,2003,7.5,,1.1,,0.14,,0.22,
Mississippi,2007,11.0,,3.3,,-0.09,,0.43,
Mississippi,2008,10.5,,3.7,,-0.05,,0.12,
Mississippi,2004,8.2,,1.0,,0.09,,-0.09,
Mississippi,2014,11.6,,3.9,,0.07,,0.15,
Mississippi,1999,3.2,,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Mississippi,2012,10.7,,3.9,,0.0,,0.34,
Mississippi,2001,6.2,,0.9,,0.48,,,Not sufficient data. Data supressed to ensure confidentiality.
Mississippi,2015,12.3,,5.3,,0.06,,0.36,
Mississippi,2000,4.2,,,Data not reported. Data unreliable.,0.31,,,Not sufficient data. Data supressed to ensure confidentiality.
Mississippi,2009,11.2,,3.4,,0.07,,-0.08,
