Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Missouri,2000,5.5,,2.4,,0.1,,0.33,
Missouri,2007,12.3,,6.7,,-0.05,,-0.06,
Missouri,2002,7.5,,3.4,,0.19,,0.42,
Missouri,1999,5.0,,1.8,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Missouri,2003,9.3,,4.8,,0.24,,0.41,
Missouri,2012,16.2,,9.3,,-0.01,,-0.09,
Missouri,2001,6.3,,2.4,,0.15,,0.0,
Missouri,2008,13.1,,8.2,,0.07,,0.22,
Missouri,2005,10.7,,5.3,,0.09,,0.08,
Missouri,2014,18.2,,12.0,,0.04,,0.12,
Missouri,2006,13.0,,7.1,,0.21,,0.34,
Missouri,2015,17.9,,11.7,,-0.02,,-0.03,
Missouri,2010,17.0,,10.3,,0.16,,0.14,
Missouri,2009,14.6,,9.0,,0.11,,0.1,
Missouri,2011,16.4,,10.2,,-0.04,,-0.01,
Missouri,2013,17.5,,10.7,,0.08,,0.15,
Missouri,2004,9.8,,4.9,,0.05,,0.02,
