Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
New Jersey,2001,8.1,,4.6,,0.08,,0.12,
New Jersey,1999,6.5,,3.8,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
New Jersey,2004,6.8,,3.6,,-0.18,,-0.29,
New Jersey,2008,8.0,,3.8,,-0.05,,-0.03,
New Jersey,2009,3.0,,0.7000000000000001,,-0.63,,-0.8200000000000001,
New Jersey,2012,13.7,,6.8,,0.21,,0.33,
New Jersey,2003,8.3,,5.1,,-0.11,,-0.09,
New Jersey,2014,14.0,,8.2,,-0.03,,0.08,
New Jersey,2015,16.3,,9.8,,0.16,,0.2,
New Jersey,2010,9.8,,4.2,,2.27,,5.0,
New Jersey,2002,9.3,,5.6,,0.15,,0.22,
New Jersey,2005,9.4,,5.0,,0.38,,0.39,
New Jersey,2007,8.4,,3.9,,-0.13,,-0.09,
New Jersey,2000,7.5,,4.1,,0.15,,0.08,
New Jersey,2011,11.3,,5.1,,0.15,,0.21,
New Jersey,2006,9.7,,4.3,,0.03,,-0.14,
New Jersey,2013,14.5,,7.6,,0.06,,0.12,
