Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
New Mexico,2000,15.1,,10.0,,0.01,,-0.02,
New Mexico,2015,25.3,,17.9,,-0.07,,-0.11,
New Mexico,2001,14.4,,8.4,,-0.05,,-0.16,
New Mexico,2014,27.3,,20.2,,0.21,,0.26,
New Mexico,2006,21.8,,12.5,,0.08,,0.1,
New Mexico,2013,22.6,,16.0,,-0.09,,-0.01,
New Mexico,2009,22.0,,10.2,,-0.18,,-0.39,
New Mexico,2011,26.3,,11.9,,0.11,,0.25,
New Mexico,2010,23.8,,9.5,,0.08,,-0.07,
New Mexico,2008,26.7,,16.6,,0.14,,0.23,
New Mexico,2007,23.4,,13.5,,0.07,,0.08,
New Mexico,2004,16.9,,10.0,,-0.14,,-0.17,
New Mexico,2003,19.7,,12.0,,0.22,,0.08,
New Mexico,2005,20.1,,11.4,,0.19,,0.14,
New Mexico,2012,24.7,,16.1,,-0.06,,0.35000000000000003,
New Mexico,2002,16.1,,11.1,,0.12,,0.32,
New Mexico,1999,15.0,,10.2,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
