Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Pennsylvania,2003,11.4,,3.9,,0.25,,0.34,
Pennsylvania,2014,21.9,,9.0,,0.13,,0.15,
Pennsylvania,2005,13.2,,4.2,,0.04,,0.08,
Pennsylvania,1999,8.1,,2.7,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Pennsylvania,2013,19.4,,7.8,,0.02,,0.15,
Pennsylvania,2012,19.0,,6.8,,0.04,,0.1,
Pennsylvania,2002,9.1,,2.9,,0.15,,0.38,
Pennsylvania,2009,15.2,,5.2,,0.02,,0.06,
Pennsylvania,2007,13.9,,4.0,,0.03,,0.14,
Pennsylvania,2000,9.5,,2.7,,0.17,,0.0,
Pennsylvania,2004,12.7,,3.9,,0.11,,0.0,
Pennsylvania,2006,13.5,,3.5,,0.02,,-0.17,
Pennsylvania,2010,15.3,,5.1,,0.01,,-0.02,
Pennsylvania,2015,26.3,,11.2,,0.2,,0.24,
Pennsylvania,2008,14.9,,4.9,,0.07,,0.23,
Pennsylvania,2001,7.9,,2.1,,-0.17,,-0.22,
Pennsylvania,2011,18.3,,6.2,,0.2,,0.22,
