Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Arizona,2015,19.0,,10.2,,0.04,,0.16,
Arizona,2010,17.5,,9.9,,0.09,,0.01,
Arizona,2009,16.1,,9.8,,0.19,,0.21,
Arizona,2006,14.9,,7.8,,0.06,,0.18,
Arizona,2014,18.2,,8.8,,-0.03,,0.07,
Arizona,2003,12.7,,6.4,,0.06,,0.03,
Arizona,2004,13.7,,6.3,,0.08,,-0.02,
Arizona,2013,18.7,,8.2,,0.06,,0.0,
Arizona,2005,14.1,,6.6,,0.03,,0.05,
Arizona,2001,10.9,,5.2,,0.03,,0.08,
Arizona,2007,15.7,,7.7,,0.05,,-0.01,
Arizona,2002,12.0,,6.2,,0.1,,0.19,
Arizona,2011,16.9,,8.8,,-0.03,,-0.11,
Arizona,2008,13.5,,8.1,,-0.14,,0.05,
Arizona,2012,17.7,,8.2,,0.05,,-0.07,
Arizona,1999,10.6,,4.7,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Arizona,2000,10.6,,4.8,,0.0,,0.02,
