Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Arkansas,2015,13.8,,7.2,,0.1,,0.14,
Arkansas,2006,10.5,,5.1,,0.04,,0.11,
Arkansas,1999,4.4,,1.1,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Arkansas,2009,12.6,,7.2,,-0.04,,0.0,
Arkansas,2001,4.8,,1.1,,-0.11,,0.38,
Arkansas,2011,12.6,,6.2,,0.01,,-0.09,
Arkansas,2010,12.5,,6.8,,-0.01,,-0.06,
Arkansas,2014,12.6,,6.3,,0.14,,0.13,
Arkansas,2000,5.4,,0.8,,0.23,,-0.27,
Arkansas,2013,11.1,,5.6,,-0.15,,-0.07,
Arkansas,2007,10.9,,5.4,,0.04,,0.06,
Arkansas,2003,7.0,,3.4,,0.03,,-0.03,
Arkansas,2002,6.8,,3.5,,0.42,,2.18,
Arkansas,2008,13.1,,7.2,,0.2,,0.33,
Arkansas,2005,10.1,,4.6,,0.16,,-0.04,
Arkansas,2004,8.7,,4.8,,0.24,,0.41,
Arkansas,2012,13.1,,6.0,,0.04,,-0.03,
