Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
California,2001,3.6,,1.6,,-0.38,,-0.47,
California,2004,8.8,,4.0,,-0.01,,0.0,
California,2013,11.1,,4.9,,0.08,,0.11,
California,2014,11.1,,5.0,,0.0,,0.02,
California,1999,8.1,,4.5,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
California,2006,9.6,,4.1,,0.07,,0.08,
California,2010,10.6,,5.0,,-0.01,,-0.04,
California,2008,10.4,,4.8,,-0.01,,0.07,
California,2003,8.9,,4.0,,0.02,,-0.05,
California,2009,10.7,,5.2,,0.03,,0.08,
California,2012,10.3,,4.4,,-0.04,,-0.12,
California,2015,11.3,,4.9,,0.02,,-0.02,
California,2002,8.7,,4.2,,1.42,,1.63,
California,2005,9.0,,3.8,,0.02,,-0.05,
California,2007,10.5,,4.5,,0.09,,0.1,
California,2000,5.8,,3.0,,-0.28,,-0.33,
California,2011,10.7,,5.0,,0.01,,0.0,
