Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Connecticut,2001,8.8,,4.3,,-0.04,,-0.1,
Connecticut,2014,17.6,,15.2,,0.1,,0.24,
Connecticut,2004,9.6,,5.7,,0.09,,0.16,
Connecticut,2009,11.0,,6.2,,0.03,,-0.05,
Connecticut,2012,12.1,,5.7,,0.08,,-0.05,
Connecticut,2007,12.2,,7.0,,0.06,,0.09,
Connecticut,2002,10.3,,5.0,,0.17,,0.16,
Connecticut,2005,8.5,,4.7,,-0.11,,-0.18,
Connecticut,2010,10.1,,6.3,,-0.08,,0.02,
Connecticut,2008,10.7,,6.5,,-0.12,,-0.07,
Connecticut,2003,8.8,,4.9,,-0.15,,-0.02,
Connecticut,2015,22.1,,19.2,,0.26,,0.26,
Connecticut,1999,9.0,,4.4,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Connecticut,2011,11.2,,6.0,,0.11,,-0.05,
Connecticut,2013,16.0,,12.3,,0.32,,1.16,
Connecticut,2000,9.2,,4.8,,0.02,,0.09,
Connecticut,2006,11.5,,6.4,,0.35000000000000003,,0.36,
