Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Delaware,2000,7.0,,3.7,,0.09,,-0.1,
Delaware,2015,22.0,,14.8,,0.05,,0.06,
Delaware,2002,10.5,,6.0,,0.31,,0.33,
Delaware,2011,17.6,,12.6,,0.06,,0.05,
Delaware,2008,14.3,,7.7,,0.25,,0.51,
Delaware,2004,7.6,,4.2,,-0.19,,-0.07,
Delaware,2005,7.5,,3.5,,-0.01,,-0.17,
Delaware,2007,11.4,,5.1,,0.21,,0.13,
Delaware,2010,16.6,,12.0,,0.08,,0.29,
Delaware,2003,9.4,,4.5,,-0.1,,-0.25,
Delaware,1999,6.4,,4.1,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Delaware,2013,18.7,,12.8,,0.23,,0.39,
Delaware,2001,8.0,,4.5,,0.14,,0.22,
Delaware,2014,20.9,,13.9,,0.12,,0.09,
Delaware,2006,9.4,,4.5,,0.25,,0.29,
Delaware,2012,15.2,,9.2,,-0.14,,-0.27,
Delaware,2009,15.4,,9.3,,0.08,,0.21,
