Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Georgia,2002,6.5,,2.5,,0.08,,0.19,
Georgia,2003,6.9,,2.7,,0.06,,0.08,
Georgia,2012,10.6,,5.4,,-0.01,,0.0,
Georgia,2006,8.9,,3.6,,0.09,,0.09,
Georgia,2009,10.3,,5.0,,0.06,,0.19,
Georgia,2014,11.9,,7.0,,0.1,,0.32,
Georgia,2008,9.7,,4.2,,0.0,,0.02,
Georgia,2013,10.8,,5.3,,0.02,,-0.02,
Georgia,2010,10.7,,5.4,,0.04,,0.08,
Georgia,2011,10.7,,5.4,,0.0,,0.0,
Georgia,2001,6.0,,2.1,,0.36,,0.5,
Georgia,1999,3.5,,1.0,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Georgia,2004,7.5,,2.9,,0.09,,0.07,
Georgia,2007,9.7,,4.1,,0.09,,0.14,
Georgia,2005,8.2,,3.3,,0.09,,0.14,
Georgia,2015,12.7,,8.4,,0.07,,0.2,
Georgia,2000,4.4,,1.4,,0.26,,0.4,
