Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Hawaii,2012,11.0,,4.5,,-0.11,,-0.17,
Hawaii,2011,12.4,,5.4,,0.14,,0.02,
Hawaii,2004,8.0,,4.4,,0.13,,0.29,
Hawaii,2001,6.2,,3.0,,0.22,,0.30000000000000004,
Hawaii,2005,9.4,,5.0,,0.18,,0.14,
Hawaii,2002,6.1,,3.7,,-0.02,,0.23,
Hawaii,2009,9.6,,4.1,,0.07,,0.05,
Hawaii,2015,11.3,,4.1,,0.04,,0.05,
Hawaii,2010,10.9,,5.3,,0.14,,0.29,
Hawaii,2006,6.4,,4.0,,-0.32,,-0.2,
Hawaii,2000,5.1,,2.3,,-0.22,,-0.04,
Hawaii,2003,7.1,,3.4,,0.16,,-0.08,
Hawaii,2008,9.0,,3.9,,-0.1,,-0.32,
Hawaii,1999,6.5,,2.4,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Hawaii,2014,10.9,,3.9,,-0.01,,-0.17,
Hawaii,2007,10.0,,5.7,,0.56,,0.43,
Hawaii,2013,11.0,,4.7,,0.0,,0.04,
