Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Idaho,2009,11.6,,4.2,,0.18,,-0.13,
Idaho,2012,11.9,,3.9,,-0.08,,-0.24,
Idaho,2010,11.8,,5.3,,0.02,,0.26,
Idaho,2006,9.3,,5.0,,0.15,,0.35000000000000003,
Idaho,2007,8.6,,4.3,,-0.08,,-0.14,
Idaho,2003,7.9,,4.2,,-0.13,,0.2,
Idaho,2011,12.9,,5.1,,0.09,,-0.04,
Idaho,2008,9.8,,4.8,,0.14,,0.12,
Idaho,2002,9.1,,3.5,,0.17,,-0.15,
Idaho,2014,13.7,,5.0,,0.02,,0.04,
Idaho,2005,8.1,,3.7,,0.09,,0.06,
Idaho,2013,13.4,,4.8,,0.13,,0.23,
Idaho,2015,14.2,,6.0,,0.04,,0.2,
Idaho,2000,5.1,,2.2,,-0.04,,-0.12,
Idaho,2004,7.4,,3.5,,-0.06,,-0.17,
Idaho,2001,7.8,,4.1,,0.53,,0.86,
Idaho,1999,5.3,,2.5,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
