Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Illinois,2008,10.6,,6.7,,0.13,,0.22,
Illinois,2015,14.1,,10.7,,0.08,,0.14,
Illinois,2013,12.1,,8.3,,-0.03,,-0.07,
Illinois,1999,6.7,,3.9,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Illinois,2003,6.8,,3.7,,-0.14,,-0.2,
Illinois,2000,7.0,,4.5,,0.04,,0.15,
Illinois,2005,8.4,,4.7,,0.01,,0.12,
Illinois,2014,13.1,,9.4,,0.08,,0.13,
Illinois,2001,7.1,,4.2,,0.01,,-0.07,
Illinois,2010,10.0,,6.8,,-0.07,,-0.01,
Illinois,2009,10.8,,6.9,,0.02,,0.03,
Illinois,2007,9.4,,5.5,,-0.14,,-0.2,
Illinois,2006,10.9,,6.9,,0.30000000000000004,,0.47,
Illinois,2012,12.5,,8.9,,0.15,,0.25,
Illinois,2011,10.9,,7.1,,0.09,,0.04,
Illinois,2004,8.3,,4.2,,0.22,,0.14,
Illinois,2002,7.9,,4.6,,0.11,,0.1,
