Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Indiana,2011,15.3,,5.6,,0.06,,0.24,
Indiana,2000,3.5,,0.7000000000000001,,0.09,,-0.13,
Indiana,2012,16.0,,5.9,,0.05,,0.05,
Indiana,2005,9.8,,2.6,,0.11,,0.18,
Indiana,2015,19.5,,8.5,,0.07,,0.16,
Indiana,2010,14.4,,4.5,,0.03,,-0.1,
Indiana,2007,12.4,,3.9,,0.05,,0.39,
Indiana,2001,4.7,,1.1,,0.34,,0.5700000000000001,
Indiana,2003,7.1,,2.1,,0.48,,1.1,
Indiana,2008,13.2,,5.0,,0.06,,0.28,
Indiana,1999,3.2,,0.8,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Indiana,2004,8.8,,2.2,,0.24,,0.05,
Indiana,2014,18.2,,7.3,,0.1,,0.28,
Indiana,2006,11.8,,2.8,,0.2,,0.08,
Indiana,2009,14.0,,5.0,,0.06,,0.0,
Indiana,2002,4.8,,1.0,,0.02,,-0.09,
Indiana,2013,16.6,,5.7,,0.04,,-0.03,
