Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Iowa,2002,3.1,,1.3,,0.03,,0.44,
Iowa,2011,8.4,,5.9,,-0.02,,0.16,
Iowa,2009,7.1,,4.9,,-0.01,,0.11,
Iowa,2010,8.6,,5.1,,0.21,,0.04,
Iowa,2005,4.8,,2.4,,0.14,,0.14,
Iowa,2007,6.9,,3.6,,0.05,,0.09,
Iowa,2003,3.4,,1.4,,0.1,,0.08,
Iowa,2008,7.2,,4.4,,0.04,,0.22,
Iowa,2015,10.3,,5.8,,0.17,,0.09,
Iowa,1999,1.9,,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Iowa,2001,3.0,,0.9,,0.2,,,Not sufficient data. Data supressed to ensure confidentiality.
Iowa,2004,4.2,,2.1,,0.24,,0.5,
Iowa,2013,9.3,,6.1,,0.07,,0.03,
Iowa,2014,8.8,,5.3,,-0.05,,-0.13,
Iowa,2012,8.7,,5.9,,0.04,,0.0,
Iowa,2006,6.6,,3.3,,0.38,,0.38,
Iowa,2000,2.5,,,Data not reported. Data unreliable.,0.32,,,Not sufficient data. Data supressed to ensure confidentiality.
