Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Louisiana,2003,12.1,,2.7,,0.46,,0.29,
Louisiana,2013,17.8,,5.9,,0.45,,0.59,
Louisiana,2012,12.3,,3.7,,-0.09,,0.48,
Louisiana,2008,14.9,,2.9,,-0.21,,-0.41,
Louisiana,2001,6.0,,1.8,,0.07,,0.5,
Louisiana,2005,14.7,,3.8,,0.21,,0.19,
Louisiana,2009,13.1,,2.8,,-0.12,,-0.03,
Louisiana,2015,19.0,,6.3,,0.12,,0.11,
Louisiana,1999,4.3,,0.7000000000000001,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Louisiana,2006,16.5,,4.6,,0.12,,0.21,
Louisiana,2002,8.3,,2.1,,0.38,,0.17,
Louisiana,2000,5.6,,1.2,,0.30000000000000004,,0.71,
Louisiana,2007,18.8,,4.9,,0.14,,0.07,
Louisiana,2014,16.9,,5.7,,-0.05,,-0.03,
Louisiana,2010,13.2,,2.8,,0.01,,0.0,
Louisiana,2004,12.1,,3.2,,0.0,,0.19,
Louisiana,2011,13.5,,2.5,,0.02,,-0.11,
