Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Maryland,2012,13.7,,10.9,,0.17,,0.2,
Maryland,1999,11.4,,8.8,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Maryland,2007,13.2,,10.3,,0.0,,0.06,
Maryland,2013,14.6,,12.3,,0.07,,0.13,
Maryland,2004,11.9,,8.5,,-0.14,,-0.14,
Maryland,2005,11.4,,8.6,,-0.04,,0.01,
Maryland,2010,11.0,,8.7,,-0.12,,-0.12,
Maryland,2002,12.9,,9.7,,0.12,,0.1,
Maryland,2014,17.4,,15.0,,0.19,,0.22,
Maryland,2015,20.9,,17.7,,0.2,,0.18,
Maryland,2008,11.8,,8.7,,-0.11,,-0.16,
Maryland,2003,13.8,,9.9,,0.07,,0.02,
Maryland,2000,11.3,,8.7,,-0.01,,-0.01,
Maryland,2001,11.5,,8.8,,0.02,,0.01,
Maryland,2011,11.7,,9.1,,0.06,,0.05,
Maryland,2009,12.5,,9.9,,0.06,,0.14,
Maryland,2006,13.2,,9.7,,0.16,,0.13,
