Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Massachusetts,2004,10.3,,7.1,,-0.18,,-0.21,
Massachusetts,2005,12.0,,8.6,,0.17,,0.21,
Massachusetts,1999,7.5,,5.0,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Massachusetts,2014,19.0,,17.0,,0.19,,0.28,
Massachusetts,2000,7.1,,4.8,,-0.05,,-0.04,
Massachusetts,2012,12.7,,10.4,,0.0,,0.05,
Massachusetts,2010,11.0,,8.3,,-0.1,,-0.12,
Massachusetts,2013,16.0,,13.3,,0.26,,0.28,
Massachusetts,2008,11.9,,9.1,,-0.15,,-0.08,
Massachusetts,2007,14.0,,9.9,,-0.05,,-0.02,
Massachusetts,2006,14.7,,10.1,,0.23,,0.17,
Massachusetts,2015,25.7,,23.3,,0.35000000000000003,,0.37,
Massachusetts,2002,10.7,,7.4,,0.02,,-0.03,
Massachusetts,2009,12.2,,9.4,,0.03,,0.03,
Massachusetts,2001,10.5,,7.6,,0.48,,0.58,
Massachusetts,2003,12.6,,9.0,,0.18,,0.22,
Massachusetts,2011,12.7,,9.9,,0.15,,0.19,
