Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Michigan,1999,4.6,,1.2,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Michigan,2002,7.5,,2.3,,0.21,,0.21,
Michigan,2009,14.5,,7.5,,0.17,,0.15,
Michigan,2013,15.9,,9.4,,0.18,,0.32,
Michigan,2006,11.7,,6.0,,0.19,,0.25,
Michigan,2011,14.3,,7.5,,0.03,,0.07,
Michigan,2000,5.6,,1.8,,0.22,,0.5,
Michigan,2001,6.2,,1.9,,0.11,,0.06,
Michigan,2012,13.5,,7.1,,-0.06,,-0.05,
Michigan,2015,20.4,,13.6,,0.13,,0.25,
Michigan,2007,12.2,,5.1,,0.04,,-0.15,
Michigan,2005,9.8,,4.8,,0.13,,0.37,
Michigan,2014,18.0,,10.9,,0.13,,0.16,
Michigan,2003,7.6,,2.5,,0.01,,0.09,
Michigan,2008,12.4,,6.5,,0.02,,0.27,
Michigan,2004,8.7,,3.5,,0.14,,0.4,
Michigan,2010,13.9,,7.0,,-0.04,,-0.07,
