Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Montana,2015,13.8,,5.0,,0.11,,-0.07,
Montana,2012,11.9,,5.3,,-0.17,,-0.22,
Montana,2014,12.4,,5.4,,-0.14,,-0.25,
Montana,2004,10.9,,5.0,,0.03,,0.06,
Montana,2007,12.8,,6.3,,0.25,,0.21,
Montana,2003,10.6,,4.7,,0.22,,1.14,
Montana,2006,10.2,,5.2,,0.01,,0.11,
Montana,2011,14.4,,6.8,,0.12,,0.11,
Montana,1999,4.6,,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Montana,2001,6.2,,2.3,,0.38,,,Not sufficient data. Data supressed to ensure confidentiality.
Montana,2000,4.5,,,Data not reported. Data unreliable.,-0.02,,,Not sufficient data. Data supressed to ensure confidentiality.
Montana,2013,14.5,,7.2,,0.22,,0.36,
Montana,2009,14.6,,9.4,,0.04,,0.24,
Montana,2008,14.1,,7.6,,0.1,,0.21,
Montana,2005,10.1,,4.7,,-0.07,,-0.06,
Montana,2002,8.7,,2.2,,0.4,,-0.04,
Montana,2010,12.9,,6.1,,-0.12,,-0.35000000000000003,
