Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Nebraska,2014,7.2,,3.2,,0.11,,0.45,
Nebraska,2011,7.1,,2.8,,0.06,,-0.18,
Nebraska,2004,3.6,,1.6,,0.13,,,Not sufficient data. Data supressed to ensure confidentiality.
Nebraska,2003,3.2,,,Data not reported. Data unreliable.,-0.18,,,Not sufficient data. Data supressed to ensure confidentiality.
Nebraska,2008,5.5,,1.7000000000000002,,0.15,,-0.29,
Nebraska,2002,3.9,,1.5,,0.0,,-0.21,
Nebraska,2001,3.9,,1.9,,0.39,,,Not sufficient data. Data supressed to ensure confidentiality.
Nebraska,2015,6.9,,3.1,,-0.04,,-0.03,
Nebraska,2006,5.4,,1.9,,0.08,,-0.24,
Nebraska,1999,2.3,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Nebraska,2007,4.8,,2.4,,-0.11,,0.26,
Nebraska,2009,5.9,,3.7,,0.07,,1.18,
Nebraska,2000,2.8,,,Data not reported. Data unreliable.,0.22,,,Not sufficient data. Data supressed to ensure confidentiality.
Nebraska,2013,6.5,,2.2,,-0.18,,-0.27,
Nebraska,2012,7.9,,3.0,,0.11,,0.07,
Nebraska,2005,5.0,,2.5,,0.39,,0.56,
Nebraska,2010,6.7,,3.4,,0.14,,-0.08,
