Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Nevada,1999,11.5,,7.8,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Nevada,2007,18.9,,14.2,,0.05,,0.06,
Nevada,2013,21.1,,13.7,,0.0,,-0.12,
Nevada,2005,18.7,,13.1,,0.17,,0.13,
Nevada,2001,12.3,,8.5,,-0.1,,-0.03,
Nevada,2003,15.2,,10.8,,0.03,,0.08,
Nevada,2004,16.0,,11.6,,0.05,,0.07,
Nevada,2000,13.7,,8.8,,0.19,,0.13,
Nevada,2006,18.0,,13.4,,-0.04,,0.02,
Nevada,2008,19.2,,14.7,,0.02,,0.04,
Nevada,2009,20.1,,15.9,,0.05,,0.08,
Nevada,2014,18.4,,12.7,,-0.13,,-0.07,
Nevada,2010,20.7,,15.8,,0.03,,-0.01,
Nevada,2012,21.0,,15.6,,-0.08,,-0.05,
Nevada,2002,14.8,,10.0,,0.2,,0.18,
Nevada,2015,20.4,,13.8,,0.11,,0.09,
Nevada,2011,22.8,,16.5,,0.1,,0.04,
