Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
New Hampshire,2004,9.6,,6.9,,0.01,,-0.01,
New Hampshire,2002,8.7,,6.3,,0.43,,0.54,
New Hampshire,2010,11.8,,8.9,,-0.06,,-0.06,
New Hampshire,2005,10.7,,8.2,,0.11,,0.19,
New Hampshire,2009,12.5,,9.5,,0.33,,0.36,
New Hampshire,2014,26.2,,23.4,,0.74,,0.98,
New Hampshire,2000,3.4,,2.2,,-0.21,,-0.31,
New Hampshire,2007,13.8,,10.9,,0.23,,0.38,
New Hampshire,2006,11.2,,7.9,,0.05,,-0.04,
New Hampshire,2012,13.4,,10.5,,-0.12,,-0.09,
New Hampshire,2001,6.1,,4.1,,0.79,,0.86,
New Hampshire,2008,9.4,,7.0,,-0.32,,-0.36,
New Hampshire,2003,9.5,,7.0,,0.09,,0.11,
New Hampshire,2011,15.3,,11.5,,0.30000000000000004,,0.29,
New Hampshire,2015,34.3,,31.3,,0.31,,0.34,
New Hampshire,2013,15.1,,11.8,,0.13,,0.12,
New Hampshire,1999,4.3,,3.2,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
