Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
New York,2004,4.3,,2.4,,-0.14,,-0.2,
New York,2014,11.3,,8.6,,0.0,,0.04,
New York,2002,4.8,,2.9,,-0.14,,-0.09,
New York,2009,8.0,,5.4,,-0.06,,-0.04,
New York,2010,7.8,,5.4,,-0.03,,0.0,
New York,2006,8.6,,5.2,,0.79,,0.79,
New York,2003,5.0,,3.0,,0.04,,0.03,
New York,1999,5.0,,3.2,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
New York,2000,4.0,,2.6,,-0.2,,-0.19,
New York,2013,11.3,,8.3,,0.09,,0.09,
New York,2012,10.4,,7.6,,0.07,,0.12,
New York,2007,8.6,,5.2,,0.0,,0.0,
New York,2008,8.5,,5.6,,-0.01,,0.08,
New York,2015,13.6,,10.8,,0.2,,0.26,
New York,2001,5.6,,3.2,,0.4,,0.23,
New York,2005,4.8,,2.9,,0.12,,0.21,
New York,2011,9.7,,6.8,,0.24,,0.26,
