Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
North Carolina,2011,13.0,,8.6,,0.14,,0.06,
North Carolina,2013,12.9,,8.7,,-0.03,,0.01,
North Carolina,2010,11.4,,8.1,,-0.1,,-0.11,
North Carolina,2015,15.8,,11.9,,0.14,,0.19,
North Carolina,2003,9.0,,5.8,,0.17,,0.18,
North Carolina,2007,11.9,,8.2,,0.01,,0.05,
North Carolina,2009,12.6,,9.1,,-0.02,,0.0,
North Carolina,2014,13.8,,10.0,,0.07,,0.15,
North Carolina,2004,9.9,,6.6,,0.1,,0.14,
North Carolina,2000,6.0,,3.5,,0.30000000000000004,,0.75,
North Carolina,2001,6.6,,4.1,,0.1,,0.17,
North Carolina,2006,11.8,,7.8,,0.04,,0.04,
North Carolina,2002,7.7,,4.9,,0.17,,0.2,
North Carolina,1999,4.6,,2.0,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Carolina,2005,11.4,,7.5,,0.15,,0.14,
North Carolina,2008,12.8,,9.1,,0.08,,0.11,
North Carolina,2012,13.3,,8.6,,0.02,,0.0,
