Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
North Dakota,2008,7.4,,5.1,,0.54,,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2010,3.4,,,Not sufficient data. Data supressed to ensure confidentiality.,-0.23,,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2011,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2003,3.5,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2009,4.4,,,Not sufficient data. Data supressed to ensure confidentiality.,-0.41,,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2004,,Data not reported. Data unreliable.,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2013,2.8,,,Not sufficient data. Data supressed to ensure confidentiality.,-0.1,,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2012,3.1,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2000,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,1999,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2007,4.8,,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2002,,Data not reported. Data unreliable.,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2015,8.6,,4.8,,0.37,,0.07,
North Dakota,2005,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2006,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2001,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
North Dakota,2014,6.3,,4.5,,1.25,,,Not sufficient data. Data supressed to ensure confidentiality.
