Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Ohio,2009,10.9,,5.9,,-0.28,,-0.18,
Ohio,2010,16.1,,10.0,,0.48,,0.6900000000000001,
Ohio,2001,6.5,,3.0,,0.30000000000000004,,0.36,
Ohio,2012,18.9,,12.3,,0.07,,0.1,
Ohio,2005,10.9,,4.9,,0.1,,0.09,
Ohio,2000,5.0,,2.2,,0.19,,0.47,
Ohio,2003,6.8,,3.2,,-0.17,,-0.14,
Ohio,2011,17.7,,11.2,,0.1,,0.12,
Ohio,2014,24.6,,19.1,,0.18,,0.31,
Ohio,2013,20.8,,14.6,,0.1,,0.19,
Ohio,2007,13.9,,6.2,,0.05,,0.11,
Ohio,2002,8.2,,3.7,,0.26,,0.23,
Ohio,2004,9.9,,4.5,,0.46,,0.41,
Ohio,1999,4.2,,1.5,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Ohio,2006,13.2,,5.6,,0.21,,0.14,
Ohio,2008,15.1,,7.2,,0.09,,0.16,
Ohio,2015,29.9,,24.7,,0.22,,0.29,
