Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Oklahoma,2003,11.8,,7.5,,0.66,,0.74,
Oklahoma,2002,7.1,,4.3,,-0.11,,-0.07,
Oklahoma,2011,18.9,,13.0,,-0.03,,-0.06,
Oklahoma,2007,18.8,,13.9,,0.16,,0.25,
Oklahoma,2004,13.9,,8.9,,0.18,,0.19,
Oklahoma,2001,8.0,,4.6,,0.13,,0.21,
Oklahoma,2006,16.2,,11.1,,0.17,,0.23,
Oklahoma,2012,20.6,,14.2,,0.09,,0.09,
Oklahoma,2005,13.8,,9.0,,-0.01,,0.01,
Oklahoma,2000,7.1,,3.8,,0.31,,0.41,
Oklahoma,2010,19.4,,13.9,,-0.06,,-0.1,
Oklahoma,2008,15.6,,11.4,,-0.17,,-0.18,
Oklahoma,2015,19.0,,11.2,,-0.06,,-0.14,
Oklahoma,2009,20.6,,15.5,,0.32,,0.36,
Oklahoma,2014,20.3,,13.0,,-0.01,,-0.03,
Oklahoma,1999,5.4,,2.7,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Oklahoma,2013,20.6,,13.4,,0.0,,-0.06,
