Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Oregon,2011,13.5,,10.1,,0.05,,0.19,
Oregon,2015,12.0,,7.9,,-0.06,,-0.05,
Oregon,2000,6.0,,3.1,,-0.02,,-0.11,
Oregon,2010,12.9,,8.5,,0.0,,-0.11,
Oregon,2005,10.4,,7.2,,0.04,,0.16,
Oregon,2008,11.8,,9.0,,-0.11,,-0.04,
Oregon,2012,12.5,,9.2,,-0.07,,-0.09,
Oregon,2003,9.8,,5.7,,0.1,,0.06,
Oregon,2006,12.9,,9.6,,0.24,,0.33,
Oregon,2009,12.9,,9.5,,0.09,,0.06,
Oregon,2007,13.2,,9.4,,0.02,,-0.02,
Oregon,2013,11.3,,7.5,,-0.1,,-0.18,
Oregon,2002,8.9,,5.4,,0.29,,0.29,
Oregon,2014,12.8,,8.3,,0.13,,0.11,
Oregon,1999,6.1,,3.5,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Oregon,2001,6.9,,4.2,,0.15,,0.35000000000000003,
Oregon,2004,10.0,,6.2,,0.02,,0.09,
