Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Rhode Island,2007,12.4,,8.0,,-0.24,,-0.34,
Rhode Island,2013,22.4,,18.1,,0.23,,0.37,
Rhode Island,2002,9.3,,6.8,,-0.09,,-0.08,
Rhode Island,2011,17.7,,13.3,,0.14,,0.27,
Rhode Island,2006,16.4,,12.2,,0.15,,0.18,
Rhode Island,2004,9.8,,7.0,,-0.28,,-0.25,
Rhode Island,2015,28.2,,23.5,,0.21,,0.19,
Rhode Island,2001,10.2,,7.4,,0.46,,0.37,
Rhode Island,1999,5.5,,3.4,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Rhode Island,2008,17.3,,12.5,,0.4,,0.56,
Rhode Island,2014,23.4,,19.8,,0.04,,0.09,
Rhode Island,2012,18.2,,13.2,,0.03,,-0.01,
Rhode Island,2003,13.7,,9.3,,0.47,,0.37,
Rhode Island,2005,14.3,,10.3,,0.46,,0.47,
Rhode Island,2010,15.5,,10.5,,0.05,,-0.01,
Rhode Island,2000,7.0,,5.4,,0.27,,0.59,
Rhode Island,2009,14.8,,10.6,,-0.14,,-0.15,
