Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
South Carolina,2004,8.4,,3.1,,0.2,,0.41,
South Carolina,2000,6.5,,2.2,,0.76,,0.8300000000000001,
South Carolina,2009,13.3,,5.2,,0.06,,0.08,
South Carolina,2014,14.4,,10.7,,0.11,,0.98,
South Carolina,2003,7.0,,2.2,,0.32,,0.1,
South Carolina,2007,12.1,,4.5,,-0.05,,-0.08,
South Carolina,2001,5.9,,2.0,,-0.09,,-0.09,
South Carolina,2002,5.3,,2.0,,-0.1,,0.0,
South Carolina,2013,13.0,,5.4,,0.04,,0.06,
South Carolina,2012,12.5,,5.1,,-0.06,,-0.04,
South Carolina,2015,15.7,,11.4,,0.09,,0.07,
South Carolina,2008,12.5,,4.8,,0.03,,0.07,
South Carolina,2010,14.6,,5.9,,0.1,,0.13,
South Carolina,2005,9.9,,3.5,,0.18,,0.13,
South Carolina,2006,12.7,,4.9,,0.28,,0.4,
South Carolina,1999,3.7,,1.2,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
South Carolina,2011,13.3,,5.3,,-0.09,,-0.1,
