Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
South Dakota,2007,4.1,,2.5,,-0.2,,-0.24,
South Dakota,2010,6.3,,4.5,,-0.06,,-0.02,
South Dakota,2002,3.1,,,Data not reported. Data unreliable.,-0.03,,,Not sufficient data. Data supressed to ensure confidentiality.
South Dakota,2015,8.4,,3.5,,0.08,,-0.15,
South Dakota,1999,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
South Dakota,2006,5.1,,3.3,,-0.07,,0.06,
South Dakota,2009,6.7,,4.6,,-0.08,,0.1,
South Dakota,2014,7.8,,4.1,,0.13,,-0.07,
South Dakota,2008,7.3,,4.2,,0.78,,0.68,
South Dakota,2003,3.3,,,Not sufficient data. Data supressed to ensure confidentiality.,0.06,,,Not sufficient data. Data supressed to ensure confidentiality.
South Dakota,2011,7.1,,4.5,,0.13,,0.0,
South Dakota,2004,5.8,,2.7,,0.76,,,Not sufficient data. Data supressed to ensure confidentiality.
South Dakota,2001,3.2,,,Not sufficient data. Data supressed to ensure confidentiality.,0.14,,,Not sufficient data. Data supressed to ensure confidentiality.
South Dakota,2013,6.9,,4.4,,0.25,,0.42,
South Dakota,2005,5.5,,3.1,,-0.05,,0.15,
South Dakota,2000,2.8,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
South Dakota,2012,5.5,,3.1,,-0.23,,-0.31,
