Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Tennessee,2014,19.5,,13.4,,0.08,,0.13,
Tennessee,2001,7.3,,2.4,,0.06,,0.33,
Tennessee,2000,6.9,,1.8,,0.13,,0.13,
Tennessee,2008,14.8,,7.7,,-0.06,,-0.01,
Tennessee,2004,12.8,,6.4,,0.13,,0.28,
Tennessee,2002,8.5,,2.9,,0.16,,0.21,
Tennessee,2009,15.2,,8.5,,0.03,,0.1,
Tennessee,2013,18.1,,11.9,,0.03,,0.04,
Tennessee,2006,16.0,,7.7,,0.1,,0.03,
Tennessee,2010,16.9,,10.0,,0.11,,0.18,
Tennessee,2015,22.2,,16.0,,0.14,,0.19,
Tennessee,2005,14.5,,7.5,,0.13,,0.17,
Tennessee,2012,17.6,,11.4,,0.02,,0.13,
Tennessee,2003,11.3,,5.0,,0.33,,0.72,
Tennessee,2007,15.8,,7.8,,-0.01,,0.01,
Tennessee,2011,17.2,,10.1,,0.02,,0.01,
Tennessee,1999,6.1,,1.6,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
