Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Texas,2001,6.6,,2.6,,0.32,,0.44,
Texas,2004,8.2,,3.7,,0.01,,0.03,
Texas,2012,9.4,,4.4,,-0.07,,-0.04,
Texas,2010,9.6,,4.4,,-0.02,,-0.04,
Texas,2008,8.5,,3.9,,-0.09,,-0.09,
Texas,2003,8.1,,3.6,,0.08,,0.06,
Texas,2011,10.1,,4.6,,0.05,,0.05,
Texas,2013,9.3,,4.0,,-0.01,,-0.09,
Texas,2000,5.0,,1.8,,-0.07,,0.06,
Texas,1999,5.4,,1.7000000000000002,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Texas,2002,7.5,,3.4,,0.14,,0.31,
Texas,2007,9.3,,4.3,,-0.02,,-0.07,
Texas,2005,8.5,,3.9,,0.04,,0.05,
Texas,2009,9.8,,4.6,,0.15,,0.18,
Texas,2015,9.4,,4.7,,-0.03,,0.09,
Texas,2006,9.5,,4.6,,0.12,,0.18,
Texas,2014,9.7,,4.3,,0.04,,0.08,
