Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Utah,2004,16.3,,11.8,,0.01,,0.0,
Utah,2003,16.1,,11.8,,0.15,,0.22,
Utah,2008,19.0,,14.0,,-0.11,,-0.05,
Utah,2009,19.1,,14.7,,0.01,,0.05,
Utah,2006,19.1,,13.9,,-0.01,,-0.02,
Utah,2007,21.3,,14.7,,0.12,,0.06,
Utah,2011,19.5,,14.6,,0.15,,0.14,
Utah,2014,22.4,,16.8,,0.01,,0.06,
Utah,2012,23.1,,16.1,,0.18,,0.1,
Utah,2010,16.9,,12.8,,-0.12,,-0.13,
Utah,2015,23.4,,15.9,,0.04,,-0.05,
Utah,2000,10.4,,7.6,,-0.02,,0.04,
Utah,1999,10.6,,7.3,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Utah,2002,14.0,,9.7,,0.35000000000000003,,0.24,
Utah,2013,22.1,,15.9,,-0.04,,-0.01,
Utah,2001,10.4,,7.8,,0.0,,0.03,
Utah,2005,19.3,,14.2,,0.18,,0.2,
