Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Vermont,2003,10.2,,7.2,,0.36,,0.24,
Vermont,2004,8.0,,6.1,,-0.22,,-0.15,
Vermont,2001,7.1,,5.0,,0.22,,0.39,
Vermont,2013,15.1,,11.6,,0.39,,0.35000000000000003,
Vermont,2012,10.9,,8.6,,-0.16,,-0.05,
Vermont,2008,10.9,,8.6,,0.01,,-0.02,
Vermont,2011,12.9,,9.1,,0.33,,0.34,
Vermont,2007,10.8,,8.8,,-0.11,,-0.06,
Vermont,1999,4.7,,,Data not reported. Data unreliable.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Vermont,2009,8.3,,6.0,,-0.24,,-0.30000000000000004,
Vermont,2010,9.7,,6.8,,0.17,,0.13,
Vermont,2005,8.5,,6.1,,0.06,,0.0,
Vermont,2000,5.8,,3.6,,0.23,,,Not sufficient data. Data supressed to ensure confidentiality.
Vermont,2015,16.7,,13.4,,0.2,,0.22,
Vermont,2002,7.5,,5.8,,0.06,,0.16,
Vermont,2014,13.9,,11.0,,-0.08,,-0.05,
Vermont,2006,12.2,,9.4,,0.44,,0.54,
