Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Virginia,2012,8.9,,6.5,,-0.08,,-0.08,
Virginia,2003,7.2,,4.8,,0.06,,0.02,
Virginia,2004,7.3,,5.1,,0.01,,0.06,
Virginia,2000,5.6,,3.4,,0.12,,0.26,
Virginia,2005,7.5,,4.7,,0.03,,-0.08,
Virginia,2010,6.8,,4.8,,-0.2,,-0.19,
Virginia,2009,8.5,,5.9,,-0.06,,-0.05,
Virginia,2001,6.2,,4.2,,0.11,,0.24,
Virginia,2002,6.8,,4.7,,0.1,,0.12,
Virginia,2007,8.9,,6.4,,0.11,,0.21,
Virginia,2015,12.4,,9.9,,0.06,,0.09,
Virginia,2008,9.0,,6.2,,0.01,,-0.03,
Virginia,2014,11.7,,9.1,,0.15,,0.2,
Virginia,2011,9.7,,7.1,,0.43,,0.48,
Virginia,2013,10.2,,7.6,,0.15,,0.17,
Virginia,1999,5.0,,2.7,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Virginia,2006,8.0,,5.3,,0.07,,0.13,
