Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Washington,2000,9.2,,5.8,,-0.01,,-0.02,
Washington,2001,8.1,,5.3,,-0.12,,-0.09,
Washington,2015,14.7,,9.3,,0.11,,0.01,
Washington,2009,14.3,,10.2,,-0.03,,0.01,
Washington,2010,13.1,,8.9,,-0.08,,-0.13,
Washington,2012,13.7,,9.7,,-0.03,,-0.02,
Washington,2006,13.6,,10.0,,0.05,,0.09,
Washington,2013,13.4,,8.9,,-0.02,,-0.08,
Washington,2005,13.0,,9.2,,0.02,,0.02,
Washington,2002,10.4,,7.4,,0.28,,0.4,
Washington,2011,14.1,,9.9,,0.08,,0.11,
Washington,2007,14.4,,9.7,,0.06,,-0.03,
Washington,2008,14.8,,10.1,,0.03,,0.04,
Washington,2014,13.3,,9.2,,-0.01,,0.03,
Washington,2003,11.1,,7.5,,0.07,,0.01,
Washington,1999,9.3,,5.9,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Washington,2004,12.7,,9.0,,0.14,,0.2,
