Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Wisconsin,2011,12.1,,8.3,,0.11,,0.14,
Wisconsin,2014,15.1,,11.1,,0.01,,0.05,
Wisconsin,2013,15.0,,10.6,,0.23,,0.23,
Wisconsin,2005,9.3,,4.9,,0.18,,0.23,
Wisconsin,2003,7.0,,3.7,,0.13,,0.16,
Wisconsin,2001,5.0,,2.6,,0.09,,0.24,
Wisconsin,2006,10.6,,6.0,,0.14,,0.22,
Wisconsin,2012,12.2,,8.6,,0.01,,0.04,
Wisconsin,2007,11.1,,6.7,,0.05,,0.12,
Wisconsin,1999,4.0,,1.6,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Wisconsin,2010,10.9,,7.3,,0.0,,0.06,
Wisconsin,2008,10.6,,6.6,,-0.05,,-0.01,
Wisconsin,2000,4.6,,2.1,,0.15,,0.31,
Wisconsin,2015,15.5,,11.2,,0.03,,0.01,
Wisconsin,2004,7.9,,4.0,,0.13,,0.08,
Wisconsin,2002,6.2,,3.2,,0.24,,0.23,
Wisconsin,2009,10.9,,6.9,,0.03,,0.05,
