Location,Year,All Drug Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted) (missing reason),Opioid Overdose Death Rate (Age-Adjusted),Opioid Overdose Death Rate (Age-Adjusted) (missing reason),Percent Change in All Drug Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year (missing reason),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in Opioid Overdose Death Rate from Prior Year (missing reason)
Wyoming,2002,6.9,,,Data not reported. Data unreliable.,0.53,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2013,17.2,,8.6,,0.02,,0.12,
Wyoming,2001,4.5,,,Not sufficient data. Data supressed to ensure confidentiality.,-0.02,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2009,11.0,,5.7,,-0.21,,-0.25,
Wyoming,2014,19.4,,9.3,,0.13,,0.08,
Wyoming,2012,16.8,,7.7,,0.11,,0.03,
Wyoming,2006,10.6,,,Data not reported. Data unreliable.,1.16,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2015,16.4,,7.9,,-0.15,,-0.15,
Wyoming,1999,4.1,,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2003,5.9,,,Not sufficient data. Data supressed to ensure confidentiality.,-0.14,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2007,12.3,,4.6,,0.16,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2000,4.6,,,Data not reported. Data unreliable.,0.12,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2008,14.0,,7.6,,0.14,,0.65,
Wyoming,2005,4.9,,,Data not reported. Data unreliable.,-0.46,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2004,9.1,,,Data not reported. Data unreliable.,0.54,,,Not sufficient data. Data supressed to ensure confidentiality.
Wyoming,2010,15.0,,8.5,,0.36,,0.49,
Wyoming,2011,15.2,,7.5,,0.01,,-0.12,
