+------------------+------+--------+-------+-------------+
|    series id     | year | period | value |  footnotes  |
+------------------+------+--------+-------+-------------+
| SAS0800002000011 | 2002 |  M12   | 159.5 | Preliminary |
| SAS0800002000011 | 2002 |  M11   | 161.7 |             |
| SAS0800002000011 | 2002 |  M10   | 163.6 |             |
| SAS0800002000011 | 2002 |  M09   | 163.6 |             |
| SAS0800002000011 | 2002 |  M08   | 163.9 |             |
| SAS0800002000011 | 2002 |  M07   | 164.6 |             |
| SAS0800002000011 | 2002 |  M06   | 167.6 |             |
| SAS0800002000011 | 2002 |  M05   | 164.3 |             |
| SAS0800002000011 | 2002 |  M04   | 163.3 |             |
| SAS0800002000011 | 2002 |  M03   | 158.7 |             |
| SAS0800002000011 | 2002 |  M02   | 161.6 |             |
| SAS0800002000011 | 2002 |  M01   | 163.6 |             |
| SAS0800002000011 | 2001 |  M12   | 167.0 |             |
| SAS0800002000011 | 2001 |  M11   | 167.8 |             |
| SAS0800002000011 | 2001 |  M10   | 168.1 |             |
| SAS0800002000011 | 2001 |  M09   | 168.6 |             |
| SAS0800002000011 | 2001 |  M08   | 167.2 |             |
| SAS0800002000011 | 2001 |  M07   | 167.4 |             |
| SAS0800002000011 | 2001 |  M06   | 167.3 |             |
| SAS0800002000011 | 2001 |  M05   | 167.2 |             |
| SAS0800002000011 | 2001 |  M04   | 167.3 |             |
| SAS0800002000011 | 2001 |  M03   | 167.4 |             |
| SAS0800002000011 | 2001 |  M02   | 166.8 |             |
| SAS0800002000011 | 2001 |  M01   | 166.7 |             |
| SAS0800002000011 | 2000 |  M12   | 166.3 |             |
| SAS0800002000011 | 2000 |  M11   | 165.5 |             |
| SAS0800002000011 | 2000 |  M10   | 165.8 |             |
| SAS0800002000011 | 2000 |  M09   | 165.3 |             |
| SAS0800002000011 | 2000 |  M08   | 164.7 |             |
| SAS0800002000011 | 2000 |  M07   | 163.6 |             |
| SAS0800002000011 | 2000 |  M06   | 163.0 |             |
| SAS0800002000011 | 2000 |  M05   | 162.2 |             |
| SAS0800002000011 | 2000 |  M04   | 160.2 |             |
| SAS0800002000011 | 2000 |  M03   | 159.8 |             |
| SAS0800002000011 | 2000 |  M02   | 157.3 |             |
| SAS0800002000011 | 2000 |  M01   | 154.8 |             |
| SAS0800002000011 | 1999 |  M12   | 153.9 |             |
| SAS0800002000011 | 1999 |  M11   | 152.5 |             |
| SAS0800002000011 | 1999 |  M10   | 150.7 |             |
| SAS0800002000011 | 1999 |  M09   | 149.3 |             |
| SAS0800002000011 | 1999 |  M08   | 148.6 |             |
| SAS0800002000011 | 1999 |  M07   | 147.7 |             |
| SAS0800002000011 | 1999 |  M06   | 146.6 |             |
| SAS0800002000011 | 1999 |  M05   | 144.9 |             |
| SAS0800002000011 | 1999 |  M04   | 144.7 |             |
| SAS0800002000011 | 1999 |  M03   | 142.3 |             |
| SAS0800002000011 | 1999 |  M02   | 141.7 |             |
| SAS0800002000011 | 1999 |  M01   | 140.9 |             |
+------------------+------+--------+-------+-------------+
