+----------------+------+--------+-------+-----------+
|   series id    | year | period | value | footnotes |
+----------------+------+--------+-------+-----------+
| JTU000000MWLDR | 2018 |  M12   |  1.5  |           |
| JTU000000MWLDR | 2018 |  M11   |  1.5  |           |
| JTU000000MWLDR | 2018 |  M10   |  1.5  |           |
| JTU000000MWLDR | 2018 |  M09   |  1.3  |           |
| JTU000000MWLDR | 2018 |  M08   |  1.3  |           |
| JTU000000MWLDR | 2018 |  M07   |  1.1  |           |
| JTU000000MWLDR | 2018 |  M06   |  1.1  |           |
| JTU000000MWLDR | 2018 |  M05   |  1.3  |           |
| JTU000000MWLDR | 2018 |  M04   |  1.0  |           |
| JTU000000MWLDR | 2018 |  M03   |  0.9  |           |
| JTU000000MWLDR | 2018 |  M02   |  0.9  |           |
| JTU000000MWLDR | 2018 |  M01   |  1.5  |           |
| JTU000000MWLDR | 2017 |  M12   |  1.3  |           |
| JTU000000MWLDR | 2017 |  M11   |  1.1  |           |
| JTU000000MWLDR | 2017 |  M10   |  1.5  |           |
| JTU000000MWLDR | 2017 |  M09   |  1.2  |           |
| JTU000000MWLDR | 2017 |  M08   |  1.5  |           |
| JTU000000MWLDR | 2017 |  M07   |  1.3  |           |
| JTU000000MWLDR | 2017 |  M06   |  1.4  |           |
| JTU000000MWLDR | 2017 |  M05   |  1.0  |           |
| JTU000000MWLDR | 2017 |  M04   |  1.0  |           |
| JTU000000MWLDR | 2017 |  M03   |  1.1  |           |
| JTU000000MWLDR | 2017 |  M02   |  0.9  |           |
| JTU000000MWLDR | 2017 |  M01   |  1.8  |           |
| JTU000000MWLDR | 2016 |  M12   |  1.6  |           |
| JTU000000MWLDR | 2016 |  M11   |  1.4  |           |
| JTU000000MWLDR | 2016 |  M10   |  1.3  |           |
| JTU000000MWLDR | 2016 |  M09   |  1.1  |           |
| JTU000000MWLDR | 2016 |  M08   |  1.5  |           |
| JTU000000MWLDR | 2016 |  M07   |  1.1  |           |
| JTU000000MWLDR | 2016 |  M06   |  1.2  |           |
| JTU000000MWLDR | 2016 |  M05   |  1.0  |           |
| JTU000000MWLDR | 2016 |  M04   |  0.9  |           |
| JTU000000MWLDR | 2016 |  M03   |  1.3  |           |
| JTU000000MWLDR | 2016 |  M02   |  1.2  |           |
| JTU000000MWLDR | 2016 |  M01   |  1.8  |           |
| JTU000000MWLDR | 2015 |  M12   |  1.5  |           |
| JTU000000MWLDR | 2015 |  M11   |  1.3  |           |
| JTU000000MWLDR | 2015 |  M10   |  1.3  |           |
| JTU000000MWLDR | 2015 |  M09   |  1.5  |           |
| JTU000000MWLDR | 2015 |  M08   |  1.5  |           |
| JTU000000MWLDR | 2015 |  M07   |  1.2  |           |
| JTU000000MWLDR | 2015 |  M06   |  1.2  |           |
| JTU000000MWLDR | 2015 |  M05   |  1.2  |           |
| JTU000000MWLDR | 2015 |  M04   |  1.3  |           |
| JTU000000MWLDR | 2015 |  M03   |  1.2  |           |
| JTU000000MWLDR | 2015 |  M02   |  0.9  |           |
| JTU000000MWLDR | 2015 |  M01   |  1.6  |           |
| JTU000000MWLDR | 2014 |  M12   |  1.6  |           |
| JTU000000MWLDR | 2014 |  M11   |  1.5  |           |
| JTU000000MWLDR | 2014 |  M10   |  1.4  |           |
| JTU000000MWLDR | 2014 |  M09   |  1.3  |           |
| JTU000000MWLDR | 2014 |  M08   |  1.2  |           |
| JTU000000MWLDR | 2014 |  M07   |  1.1  |           |
