+----------------+------+--------+-------+-----------+
|   series id    | year | period | value | footnotes |
+----------------+------+--------+-------+-----------+
| JTU000000SOLDR | 2008 |  M12   |  2.0  |           |
| JTU000000SOLDR | 2008 |  M11   |  1.7  |           |
| JTU000000SOLDR | 2008 |  M10   |  1.6  |           |
| JTU000000SOLDR | 2008 |  M09   |  1.4  |           |
| JTU000000SOLDR | 2008 |  M08   |  1.6  |           |
| JTU000000SOLDR | 2008 |  M07   |  1.6  |           |
| JTU000000SOLDR | 2008 |  M06   |  1.5  |           |
| JTU000000SOLDR | 2008 |  M05   |  1.3  |           |
| JTU000000SOLDR | 2008 |  M04   |  1.5  |           |
| JTU000000SOLDR | 2008 |  M03   |  1.1  |           |
| JTU000000SOLDR | 2008 |  M02   |  1.2  |           |
| JTU000000SOLDR | 2008 |  M01   |  1.8  |           |
| JTU000000SOLDR | 2007 |  M12   |  1.6  |           |
| JTU000000SOLDR | 2007 |  M11   |  1.2  |           |
| JTU000000SOLDR | 2007 |  M10   |  1.5  |           |
| JTU000000SOLDR | 2007 |  M09   |  1.7  |           |
| JTU000000SOLDR | 2007 |  M08   |  1.5  |           |
| JTU000000SOLDR | 2007 |  M07   |  1.5  |           |
| JTU000000SOLDR | 2007 |  M06   |  1.3  |           |
| JTU000000SOLDR | 2007 |  M05   |  1.3  |           |
| JTU000000SOLDR | 2007 |  M04   |  1.5  |           |
| JTU000000SOLDR | 2007 |  M03   |  1.2  |           |
| JTU000000SOLDR | 2007 |  M02   |  1.1  |           |
| JTU000000SOLDR | 2007 |  M01   |  1.8  |           |
| JTU000000SOLDR | 2006 |  M12   |  1.4  |           |
| JTU000000SOLDR | 2006 |  M11   |  1.5  |           |
| JTU000000SOLDR | 2006 |  M10   |  1.4  |           |
| JTU000000SOLDR | 2006 |  M09   |  1.3  |           |
| JTU000000SOLDR | 2006 |  M08   |  1.5  |           |
| JTU000000SOLDR | 2006 |  M07   |  1.4  |           |
| JTU000000SOLDR | 2006 |  M06   |  1.3  |           |
| JTU000000SOLDR | 2006 |  M05   |  1.3  |           |
| JTU000000SOLDR | 2006 |  M04   |  1.4  |           |
| JTU000000SOLDR | 2006 |  M03   |  1.1  |           |
| JTU000000SOLDR | 2006 |  M02   |  1.1  |           |
| JTU000000SOLDR | 2006 |  M01   |  1.6  |           |
| JTU000000SOLDR | 2005 |  M12   |  1.6  |           |
| JTU000000SOLDR | 2005 |  M11   |  1.1  |           |
| JTU000000SOLDR | 2005 |  M10   |  1.5  |           |
| JTU000000SOLDR | 2005 |  M09   |  1.4  |           |
| JTU000000SOLDR | 2005 |  M08   |  1.4  |           |
| JTU000000SOLDR | 2005 |  M07   |  1.5  |           |
| JTU000000SOLDR | 2005 |  M06   |  1.4  |           |
| JTU000000SOLDR | 2005 |  M05   |  1.5  |           |
| JTU000000SOLDR | 2005 |  M04   |  1.5  |           |
| JTU000000SOLDR | 2005 |  M03   |  1.4  |           |
| JTU000000SOLDR | 2005 |  M02   |  1.3  |           |
| JTU000000SOLDR | 2005 |  M01   |  2.0  |           |
| JTU000000SOLDR | 2004 |  M12   |  1.5  |           |
| JTU000000SOLDR | 2004 |  M11   |  1.3  |           |
| JTU000000SOLDR | 2004 |  M10   |  1.6  |           |
| JTU000000SOLDR | 2004 |  M09   |  1.3  |           |
| JTU000000SOLDR | 2004 |  M08   |  1.7  |           |
| JTU000000SOLDR | 2004 |  M07   |  1.4  |           |
| JTU000000SOLDR | 2004 |  M06   |  1.3  |           |
| JTU000000SOLDR | 2004 |  M05   |  1.5  |           |
| JTU000000SOLDR | 2004 |  M04   |  1.6  |           |
| JTU000000SOLDR | 2004 |  M03   |  1.2  |           |
| JTU000000SOLDR | 2004 |  M02   |  1.3  |           |
| JTU000000SOLDR | 2004 |  M01   |  2.0  |           |
| JTU000000SOLDR | 2003 |  M12   |  1.6  |           |
| JTU000000SOLDR | 2003 |  M11   |  1.3  |           |
| JTU000000SOLDR | 2003 |  M10   |  1.7  |           |
| JTU000000SOLDR | 2003 |  M09   |  1.5  |           |
| JTU000000SOLDR | 2003 |  M08   |  1.9  |           |
| JTU000000SOLDR | 2003 |  M07   |  1.7  |           |
| JTU000000SOLDR | 2003 |  M06   |  1.6  |           |
| JTU000000SOLDR | 2003 |  M05   |  1.4  |           |
| JTU000000SOLDR | 2003 |  M04   |  1.7  |           |
| JTU000000SOLDR | 2003 |  M03   |  1.2  |           |
| JTU000000SOLDR | 2003 |  M02   |  1.3  |           |
| JTU000000SOLDR | 2003 |  M01   |  2.3  |           |
| JTU000000SOLDR | 2002 |  M12   |  1.6  |           |
| JTU000000SOLDR | 2002 |  M11   |  1.3  |           |
| JTU000000SOLDR | 2002 |  M10   |  1.7  |           |
