+----------------------+------+--------+-------+-----------+
|      series id       | year | period | value | footnotes |
+----------------------+------+--------+-------+-----------+
| LASST470000000000003 | 2008 |  M12   |  8.5  |           |
| LASST470000000000003 | 2008 |  M11   |  7.9  |           |
| LASST470000000000003 | 2008 |  M10   |  7.5  |           |
| LASST470000000000003 | 2008 |  M09   |  7.2  |           |
| LASST470000000000003 | 2008 |  M08   |  6.9  |           |
| LASST470000000000003 | 2008 |  M07   |  6.7  |           |
| LASST470000000000003 | 2008 |  M06   |  6.4  |           |
| LASST470000000000003 | 2008 |  M05   |  6.1  |           |
| LASST470000000000003 | 2008 |  M04   |  5.8  |           |
| LASST470000000000003 | 2008 |  M03   |  5.6  |           |
| LASST470000000000003 | 2008 |  M02   |  5.5  |           |
| LASST470000000000003 | 2008 |  M01   |  5.4  |           |
| LASST470000000000003 | 2007 |  M12   |  5.4  |           |
| LASST470000000000003 | 2007 |  M11   |  5.3  |           |
| LASST470000000000003 | 2007 |  M10   |  5.2  |           |
| LASST470000000000003 | 2007 |  M09   |  5.0  |           |
| LASST470000000000003 | 2007 |  M08   |  4.7  |           |
| LASST470000000000003 | 2007 |  M07   |  4.5  |           |
| LASST470000000000003 | 2007 |  M06   |  4.3  |           |
| LASST470000000000003 | 2007 |  M05   |  4.2  |           |
| LASST470000000000003 | 2007 |  M04   |  4.2  |           |
| LASST470000000000003 | 2007 |  M03   |  4.3  |           |
| LASST470000000000003 | 2007 |  M02   |  4.4  |           |
| LASST470000000000003 | 2007 |  M01   |  4.5  |           |
| LASST470000000000003 | 2006 |  M12   |  4.7  |           |
| LASST470000000000003 | 2006 |  M11   |  4.8  |           |
| LASST470000000000003 | 2006 |  M10   |  5.0  |           |
| LASST470000000000003 | 2006 |  M09   |  5.2  |           |
| LASST470000000000003 | 2006 |  M08   |  5.3  |           |
| LASST470000000000003 | 2006 |  M07   |  5.4  |           |
| LASST470000000000003 | 2006 |  M06   |  5.5  |           |
| LASST470000000000003 | 2006 |  M05   |  5.5  |           |
| LASST470000000000003 | 2006 |  M04   |  5.4  |           |
| LASST470000000000003 | 2006 |  M03   |  5.3  |           |
| LASST470000000000003 | 2006 |  M02   |  5.3  |           |
| LASST470000000000003 | 2006 |  M01   |  5.3  |           |
| LASST470000000000003 | 2005 |  M12   |  5.3  |           |
| LASST470000000000003 | 2005 |  M11   |  5.3  |           |
| LASST470000000000003 | 2005 |  M10   |  5.3  |           |
| LASST470000000000003 | 2005 |  M09   |  5.3  |           |
| LASST470000000000003 | 2005 |  M08   |  5.3  |           |
| LASST470000000000003 | 2005 |  M07   |  5.4  |           |
| LASST470000000000003 | 2005 |  M06   |  5.6  |           |
| LASST470000000000003 | 2005 |  M05   |  5.7  |           |
| LASST470000000000003 | 2005 |  M04   |  5.8  |           |
| LASST470000000000003 | 2005 |  M03   |  5.9  |           |
| LASST470000000000003 | 2005 |  M02   |  5.9  |           |
| LASST470000000000003 | 2005 |  M01   |  5.9  |           |
| LASST470000000000003 | 2004 |  M12   |  5.8  |           |
| LASST470000000000003 | 2004 |  M11   |  5.7  |           |
| LASST470000000000003 | 2004 |  M10   |  5.6  |           |
| LASST470000000000003 | 2004 |  M09   |  5.5  |           |
| LASST470000000000003 | 2004 |  M08   |  5.4  |           |
| LASST470000000000003 | 2004 |  M07   |  5.3  |           |
| LASST470000000000003 | 2004 |  M06   |  5.2  |           |
| LASST470000000000003 | 2004 |  M05   |  5.1  |           |
| LASST470000000000003 | 2004 |  M04   |  5.1  |           |
| LASST470000000000003 | 2004 |  M03   |  5.1  |           |
| LASST470000000000003 | 2004 |  M02   |  5.2  |           |
| LASST470000000000003 | 2004 |  M01   |  5.3  |           |
| LASST470000000000003 | 2003 |  M12   |  5.4  |           |
| LASST470000000000003 | 2003 |  M11   |  5.6  |           |
| LASST470000000000003 | 2003 |  M10   |  5.7  |           |
| LASST470000000000003 | 2003 |  M09   |  5.8  |           |
| LASST470000000000003 | 2003 |  M08   |  5.9  |           |
| LASST470000000000003 | 2003 |  M07   |  5.9  |           |
| LASST470000000000003 | 2003 |  M06   |  5.9  |           |
| LASST470000000000003 | 2003 |  M05   |  5.8  |           |
| LASST470000000000003 | 2003 |  M04   |  5.6  |           |
| LASST470000000000003 | 2003 |  M03   |  5.5  |           |
| LASST470000000000003 | 2003 |  M02   |  5.3  |           |
| LASST470000000000003 | 2003 |  M01   |  5.1  |           |
| LASST470000000000003 | 2002 |  M12   |  5.0  |           |
| LASST470000000000003 | 2002 |  M11   |  4.9  |           |
| LASST470000000000003 | 2002 |  M10   |  4.8  |           |
| LASST470000000000003 | 2002 |  M09   |  4.8  |           |
| LASST470000000000003 | 2002 |  M08   |  4.8  |           |
| LASST470000000000003 | 2002 |  M07   |  4.9  |           |
| LASST470000000000003 | 2002 |  M06   |  5.1  |           |
| LASST470000000000003 | 2002 |  M05   |  5.2  |           |
| LASST470000000000003 | 2002 |  M04   |  5.4  |           |
| LASST470000000000003 | 2002 |  M03   |  5.6  |           |
| LASST470000000000003 | 2002 |  M02   |  5.8  |           |
| LASST470000000000003 | 2002 |  M01   |  5.8  |           |
| LASST470000000000003 | 2001 |  M12   |  5.7  |           |
| LASST470000000000003 | 2001 |  M11   |  5.5  |           |
| LASST470000000000003 | 2001 |  M10   |  5.2  |           |
| LASST470000000000003 | 2001 |  M09   |  4.9  |           |
| LASST470000000000003 | 2001 |  M08   |  4.7  |           |
| LASST470000000000003 | 2001 |  M07   |  4.5  |           |
| LASST470000000000003 | 2001 |  M06   |  4.3  |           |
| LASST470000000000003 | 2001 |  M05   |  4.2  |           |
| LASST470000000000003 | 2001 |  M04   |  4.1  |           |
| LASST470000000000003 | 2001 |  M03   |  4.0  |           |
| LASST470000000000003 | 2001 |  M02   |  3.9  |           |
| LASST470000000000003 | 2001 |  M01   |  3.9  |           |
| LASST470000000000003 | 2000 |  M12   |  3.9  |           |
| LASST470000000000003 | 2000 |  M11   |  3.9  |           |
| LASST470000000000003 | 2000 |  M10   |  3.9  |           |
| LASST470000000000003 | 2000 |  M09   |  3.9  |           |
| LASST470000000000003 | 2000 |  M08   |  4.0  |           |
| LASST470000000000003 | 2000 |  M07   |  4.0  |           |
| LASST470000000000003 | 2000 |  M06   |  3.9  |           |
| LASST470000000000003 | 2000 |  M05   |  3.9  |           |
| LASST470000000000003 | 2000 |  M04   |  3.8  |           |
| LASST470000000000003 | 2000 |  M03   |  3.8  |           |
| LASST470000000000003 | 2000 |  M02   |  3.7  |           |
| LASST470000000000003 | 2000 |  M01   |  3.7  |           |
| LASST470000000000003 | 1999 |  M12   |  3.8  |           |
| LASST470000000000003 | 1999 |  M11   |  3.8  |           |
| LASST470000000000003 | 1999 |  M10   |  3.9  |           |
| LASST470000000000003 | 1999 |  M09   |  3.9  |           |
| LASST470000000000003 | 1999 |  M08   |  3.9  |           |
| LASST470000000000003 | 1999 |  M07   |  3.9  |           |
| LASST470000000000003 | 1999 |  M06   |  3.9  |           |
| LASST470000000000003 | 1999 |  M05   |  4.0  |           |
| LASST470000000000003 | 1999 |  M04   |  4.0  |           |
| LASST470000000000003 | 1999 |  M03   |  4.1  |           |
| LASST470000000000003 | 1999 |  M02   |  4.1  |           |
| LASST470000000000003 | 1999 |  M01   |  4.2  |           |
+----------------------+------+--------+-------+-----------+
