+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST080000000000006 | 2018 |  M12   | 3128678 |           |
| LASST080000000000006 | 2018 |  M11   | 3129482 |           |
| LASST080000000000006 | 2018 |  M10   | 3128227 |           |
| LASST080000000000006 | 2018 |  M09   | 3120833 |           |
| LASST080000000000006 | 2018 |  M08   | 3111296 |           |
| LASST080000000000006 | 2018 |  M07   | 3101320 |           |
| LASST080000000000006 | 2018 |  M06   | 3091484 |           |
| LASST080000000000006 | 2018 |  M05   | 3082656 |           |
| LASST080000000000006 | 2018 |  M04   | 3073369 |           |
| LASST080000000000006 | 2018 |  M03   | 3063724 |           |
| LASST080000000000006 | 2018 |  M02   | 3054499 |           |
| LASST080000000000006 | 2018 |  M01   | 3046551 |           |
| LASST080000000000006 | 2017 |  M12   | 3039766 |           |
| LASST080000000000006 | 2017 |  M11   | 3033316 |           |
| LASST080000000000006 | 2017 |  M10   | 3026415 |           |
| LASST080000000000006 | 2017 |  M09   | 3018534 |           |
| LASST080000000000006 | 2017 |  M08   | 3009431 |           |
| LASST080000000000006 | 2017 |  M07   | 2999127 |           |
| LASST080000000000006 | 2017 |  M06   | 2988189 |           |
| LASST080000000000006 | 2017 |  M05   | 2977415 |           |
| LASST080000000000006 | 2017 |  M04   | 2967135 |           |
| LASST080000000000006 | 2017 |  M03   | 2957611 |           |
| LASST080000000000006 | 2017 |  M02   | 2948947 |           |
| LASST080000000000006 | 2017 |  M01   | 2941048 |           |
| LASST080000000000006 | 2016 |  M12   | 2933917 |           |
| LASST080000000000006 | 2016 |  M11   | 2927310 |           |
| LASST080000000000006 | 2016 |  M10   | 2920808 |           |
| LASST080000000000006 | 2016 |  M09   | 2913912 |           |
| LASST080000000000006 | 2016 |  M08   | 2906590 |           |
| LASST080000000000006 | 2016 |  M07   | 2899228 |           |
| LASST080000000000006 | 2016 |  M06   | 2892152 |           |
| LASST080000000000006 | 2016 |  M05   | 2885719 |           |
| LASST080000000000006 | 2016 |  M04   | 2879928 |           |
| LASST080000000000006 | 2016 |  M03   | 2874182 |           |
| LASST080000000000006 | 2016 |  M02   | 2867583 |           |
| LASST080000000000006 | 2016 |  M01   | 2859746 |           |
| LASST080000000000006 | 2015 |  M12   | 2851090 |           |
| LASST080000000000006 | 2015 |  M11   | 2842459 |           |
| LASST080000000000006 | 2015 |  M10   | 2835235 |           |
| LASST080000000000006 | 2015 |  M09   | 2830483 |           |
| LASST080000000000006 | 2015 |  M08   | 2828022 |           |
| LASST080000000000006 | 2015 |  M07   | 2826930 |           |
| LASST080000000000006 | 2015 |  M06   | 2826350 |           |
| LASST080000000000006 | 2015 |  M05   | 2825449 |           |
| LASST080000000000006 | 2015 |  M04   | 2823821 |           |
| LASST080000000000006 | 2015 |  M03   | 2821867 |           |
| LASST080000000000006 | 2015 |  M02   | 2819981 |           |
| LASST080000000000006 | 2015 |  M01   | 2818338 |           |
| LASST080000000000006 | 2014 |  M12   | 2816915 |           |
| LASST080000000000006 | 2014 |  M11   | 2815523 |           |
| LASST080000000000006 | 2014 |  M10   | 2813456 |           |
| LASST080000000000006 | 2014 |  M09   | 2810417 |           |
| LASST080000000000006 | 2014 |  M08   | 2807159 |           |
| LASST080000000000006 | 2014 |  M07   | 2804294 |           |
| LASST080000000000006 | 2014 |  M06   | 2801950 |           |
| LASST080000000000006 | 2014 |  M05   | 2799663 |           |
| LASST080000000000006 | 2014 |  M04   | 2796938 |           |
| LASST080000000000006 | 2014 |  M03   | 2792856 |           |
| LASST080000000000006 | 2014 |  M02   | 2787334 |           |
| LASST080000000000006 | 2014 |  M01   | 2781177 |           |
| LASST080000000000006 | 2013 |  M12   | 2772991 |           |
| LASST080000000000006 | 2013 |  M11   | 2768743 |           |
| LASST080000000000006 | 2013 |  M10   | 2767060 |           |
| LASST080000000000006 | 2013 |  M09   | 2767659 |           |
| LASST080000000000006 | 2013 |  M08   | 2769026 |           |
| LASST080000000000006 | 2013 |  M07   | 2769763 |           |
| LASST080000000000006 | 2013 |  M06   | 2769223 |           |
| LASST080000000000006 | 2013 |  M05   | 2767770 |           |
| LASST080000000000006 | 2013 |  M04   | 2766087 |           |
| LASST080000000000006 | 2013 |  M03   | 2765227 |           |
| LASST080000000000006 | 2013 |  M02   | 2765868 |           |
| LASST080000000000006 | 2013 |  M01   | 2767274 |           |
| LASST080000000000006 | 2012 |  M12   | 2768370 |           |
| LASST080000000000006 | 2012 |  M11   | 2768164 |           |
| LASST080000000000006 | 2012 |  M10   | 2766298 |           |
| LASST080000000000006 | 2012 |  M09   | 2763026 |           |
| LASST080000000000006 | 2012 |  M08   | 2759167 |           |
| LASST080000000000006 | 2012 |  M07   | 2755737 |           |
| LASST080000000000006 | 2012 |  M06   | 2753000 |           |
| LASST080000000000006 | 2012 |  M05   | 2751221 |           |
| LASST080000000000006 | 2012 |  M04   | 2750712 |           |
| LASST080000000000006 | 2012 |  M03   | 2751340 |           |
| LASST080000000000006 | 2012 |  M02   | 2752543 |           |
| LASST080000000000006 | 2012 |  M01   | 2754132 |           |
| LASST080000000000006 | 2011 |  M12   | 2755211 |           |
| LASST080000000000006 | 2011 |  M11   | 2754113 |           |
| LASST080000000000006 | 2011 |  M10   | 2750277 |           |
| LASST080000000000006 | 2011 |  M09   | 2744437 |           |
| LASST080000000000006 | 2011 |  M08   | 2737851 |           |
| LASST080000000000006 | 2011 |  M07   | 2731838 |           |
| LASST080000000000006 | 2011 |  M06   | 2727538 |           |
| LASST080000000000006 | 2011 |  M05   | 2725485 |           |
| LASST080000000000006 | 2011 |  M04   | 2725243 |           |
| LASST080000000000006 | 2011 |  M03   | 2725870 |           |
| LASST080000000000006 | 2011 |  M02   | 2726295 |           |
| LASST080000000000006 | 2011 |  M01   | 2726142 |           |
| LASST080000000000006 | 2010 |  M12   | 2725739 |           |
| LASST080000000000006 | 2010 |  M11   | 2725575 |           |
| LASST080000000000006 | 2010 |  M10   | 2725408 |           |
| LASST080000000000006 | 2010 |  M09   | 2725176 |           |
| LASST080000000000006 | 2010 |  M08   | 2725309 |           |
| LASST080000000000006 | 2010 |  M07   | 2725775 |           |
| LASST080000000000006 | 2010 |  M06   | 2726542 |           |
| LASST080000000000006 | 2010 |  M05   | 2726694 |           |
| LASST080000000000006 | 2010 |  M04   | 2725446 |           |
| LASST080000000000006 | 2010 |  M03   | 2722791 |           |
| LASST080000000000006 | 2010 |  M02   | 2718865 |           |
| LASST080000000000006 | 2010 |  M01   | 2714266 |           |
| LASST080000000000006 | 2009 |  M12   | 2710561 |           |
| LASST080000000000006 | 2009 |  M11   | 2709549 |           |
| LASST080000000000006 | 2009 |  M10   | 2711943 |           |
| LASST080000000000006 | 2009 |  M09   | 2717092 |           |
| LASST080000000000006 | 2009 |  M08   | 2723178 |           |
| LASST080000000000006 | 2009 |  M07   | 2728583 |           |
