+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST100000000000006 | 2008 |  M12   | 445841 |           |
| LASST100000000000006 | 2008 |  M11   | 446400 |           |
| LASST100000000000006 | 2008 |  M10   | 446804 |           |
| LASST100000000000006 | 2008 |  M09   | 447058 |           |
| LASST100000000000006 | 2008 |  M08   | 447205 |           |
| LASST100000000000006 | 2008 |  M07   | 447280 |           |
| LASST100000000000006 | 2008 |  M06   | 447326 |           |
| LASST100000000000006 | 2008 |  M05   | 447391 |           |
| LASST100000000000006 | 2008 |  M04   | 447476 |           |
| LASST100000000000006 | 2008 |  M03   | 447516 |           |
| LASST100000000000006 | 2008 |  M02   | 447431 |           |
| LASST100000000000006 | 2008 |  M01   | 447129 |           |
| LASST100000000000006 | 2007 |  M12   | 446557 |           |
| LASST100000000000006 | 2007 |  M11   | 445778 |           |
| LASST100000000000006 | 2007 |  M10   | 444906 |           |
| LASST100000000000006 | 2007 |  M09   | 444059 |           |
| LASST100000000000006 | 2007 |  M08   | 443356 |           |
| LASST100000000000006 | 2007 |  M07   | 442881 |           |
| LASST100000000000006 | 2007 |  M06   | 442635 |           |
| LASST100000000000006 | 2007 |  M05   | 442571 |           |
| LASST100000000000006 | 2007 |  M04   | 442617 |           |
| LASST100000000000006 | 2007 |  M03   | 442693 |           |
| LASST100000000000006 | 2007 |  M02   | 442736 |           |
| LASST100000000000006 | 2007 |  M01   | 442720 |           |
| LASST100000000000006 | 2006 |  M12   | 442636 |           |
| LASST100000000000006 | 2006 |  M11   | 442452 |           |
| LASST100000000000006 | 2006 |  M10   | 442186 |           |
| LASST100000000000006 | 2006 |  M09   | 441873 |           |
| LASST100000000000006 | 2006 |  M08   | 441522 |           |
| LASST100000000000006 | 2006 |  M07   | 441153 |           |
| LASST100000000000006 | 2006 |  M06   | 440812 |           |
| LASST100000000000006 | 2006 |  M05   | 440551 |           |
| LASST100000000000006 | 2006 |  M04   | 440409 |           |
| LASST100000000000006 | 2006 |  M03   | 440389 |           |
| LASST100000000000006 | 2006 |  M02   | 440431 |           |
| LASST100000000000006 | 2006 |  M01   | 440411 |           |
| LASST100000000000006 | 2005 |  M12   | 440190 |           |
| LASST100000000000006 | 2005 |  M11   | 439663 |           |
| LASST100000000000006 | 2005 |  M10   | 438769 |           |
| LASST100000000000006 | 2005 |  M09   | 437521 |           |
| LASST100000000000006 | 2005 |  M08   | 435976 |           |
| LASST100000000000006 | 2005 |  M07   | 434173 |           |
| LASST100000000000006 | 2005 |  M06   | 432167 |           |
| LASST100000000000006 | 2005 |  M05   | 430020 |           |
| LASST100000000000006 | 2005 |  M04   | 427824 |           |
| LASST100000000000006 | 2005 |  M03   | 425728 |           |
| LASST100000000000006 | 2005 |  M02   | 423909 |           |
| LASST100000000000006 | 2005 |  M01   | 422512 |           |
| LASST100000000000006 | 2004 |  M12   | 421596 |           |
| LASST100000000000006 | 2004 |  M11   | 421125 |           |
| LASST100000000000006 | 2004 |  M10   | 420954 |           |
| LASST100000000000006 | 2004 |  M09   | 420898 |           |
| LASST100000000000006 | 2004 |  M08   | 420835 |           |
| LASST100000000000006 | 2004 |  M07   | 420719 |           |
| LASST100000000000006 | 2004 |  M06   | 420531 |           |
| LASST100000000000006 | 2004 |  M05   | 420270 |           |
| LASST100000000000006 | 2004 |  M04   | 419943 |           |
| LASST100000000000006 | 2004 |  M03   | 419552 |           |
| LASST100000000000006 | 2004 |  M02   | 419090 |           |
| LASST100000000000006 | 2004 |  M01   | 418565 |           |
| LASST100000000000006 | 2003 |  M12   | 418002 |           |
| LASST100000000000006 | 2003 |  M11   | 417437 |           |
| LASST100000000000006 | 2003 |  M10   | 416900 |           |
| LASST100000000000006 | 2003 |  M09   | 416390 |           |
| LASST100000000000006 | 2003 |  M08   | 415875 |           |
| LASST100000000000006 | 2003 |  M07   | 415326 |           |
| LASST100000000000006 | 2003 |  M06   | 414747 |           |
| LASST100000000000006 | 2003 |  M05   | 414178 |           |
| LASST100000000000006 | 2003 |  M04   | 413663 |           |
| LASST100000000000006 | 2003 |  M03   | 413246 |           |
| LASST100000000000006 | 2003 |  M02   | 412995 |           |
| LASST100000000000006 | 2003 |  M01   | 412960 |           |
| LASST100000000000006 | 2002 |  M12   | 413135 |           |
| LASST100000000000006 | 2002 |  M11   | 413478 |           |
| LASST100000000000006 | 2002 |  M10   | 413954 |           |
| LASST100000000000006 | 2002 |  M09   | 414573 |           |
| LASST100000000000006 | 2002 |  M08   | 415317 |           |
| LASST100000000000006 | 2002 |  M07   | 416167 |           |
| LASST100000000000006 | 2002 |  M06   | 417078 |           |
| LASST100000000000006 | 2002 |  M05   | 417988 |           |
| LASST100000000000006 | 2002 |  M04   | 418853 |           |
| LASST100000000000006 | 2002 |  M03   | 419636 |           |
| LASST100000000000006 | 2002 |  M02   | 420290 |           |
| LASST100000000000006 | 2002 |  M01   | 420776 |           |
| LASST100000000000006 | 2001 |  M12   | 421097 |           |
| LASST100000000000006 | 2001 |  M11   | 421285 |           |
| LASST100000000000006 | 2001 |  M10   | 421357 |           |
| LASST100000000000006 | 2001 |  M09   | 421330 |           |
| LASST100000000000006 | 2001 |  M08   | 421274 |           |
| LASST100000000000006 | 2001 |  M07   | 421290 |           |
| LASST100000000000006 | 2001 |  M06   | 421469 |           |
