+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST150000000000006 | 2018 |  M12   | 677697 |           |
| LASST150000000000006 | 2018 |  M11   | 677621 |           |
| LASST150000000000006 | 2018 |  M10   | 677592 |           |
| LASST150000000000006 | 2018 |  M09   | 677745 |           |
| LASST150000000000006 | 2018 |  M08   | 678038 |           |
| LASST150000000000006 | 2018 |  M07   | 678530 |           |
| LASST150000000000006 | 2018 |  M06   | 678990 |           |
| LASST150000000000006 | 2018 |  M05   | 679441 |           |
| LASST150000000000006 | 2018 |  M04   | 679775 |           |
| LASST150000000000006 | 2018 |  M03   | 679905 |           |
| LASST150000000000006 | 2018 |  M02   | 679892 |           |
| LASST150000000000006 | 2018 |  M01   | 679831 |           |
| LASST150000000000006 | 2017 |  M12   | 679809 |           |
| LASST150000000000006 | 2017 |  M11   | 679917 |           |
| LASST150000000000006 | 2017 |  M10   | 680249 |           |
| LASST150000000000006 | 2017 |  M09   | 680890 |           |
| LASST150000000000006 | 2017 |  M08   | 681839 |           |
| LASST150000000000006 | 2017 |  M07   | 682994 |           |
| LASST150000000000006 | 2017 |  M06   | 684240 |           |
| LASST150000000000006 | 2017 |  M05   | 685417 |           |
| LASST150000000000006 | 2017 |  M04   | 686361 |           |
| LASST150000000000006 | 2017 |  M03   | 687005 |           |
| LASST150000000000006 | 2017 |  M02   | 687332 |           |
| LASST150000000000006 | 2017 |  M01   | 687406 |           |
| LASST150000000000006 | 2016 |  M12   | 687324 |           |
| LASST150000000000006 | 2016 |  M11   | 687093 |           |
| LASST150000000000006 | 2016 |  M10   | 686676 |           |
| LASST150000000000006 | 2016 |  M09   | 685999 |           |
| LASST150000000000006 | 2016 |  M08   | 685037 |           |
| LASST150000000000006 | 2016 |  M07   | 683858 |           |
| LASST150000000000006 | 2016 |  M06   | 682551 |           |
| LASST150000000000006 | 2016 |  M05   | 681299 |           |
| LASST150000000000006 | 2016 |  M04   | 680286 |           |
| LASST150000000000006 | 2016 |  M03   | 679527 |           |
| LASST150000000000006 | 2016 |  M02   | 678934 |           |
| LASST150000000000006 | 2016 |  M01   | 678424 |           |
| LASST150000000000006 | 2015 |  M12   | 677887 |           |
| LASST150000000000006 | 2015 |  M11   | 677238 |           |
| LASST150000000000006 | 2015 |  M10   | 676494 |           |
| LASST150000000000006 | 2015 |  M09   | 675702 |           |
| LASST150000000000006 | 2015 |  M08   | 674901 |           |
| LASST150000000000006 | 2015 |  M07   | 674110 |           |
| LASST150000000000006 | 2015 |  M06   | 673394 |           |
| LASST150000000000006 | 2015 |  M05   | 672743 |           |
| LASST150000000000006 | 2015 |  M04   | 672108 |           |
| LASST150000000000006 | 2015 |  M03   | 671500 |           |
| LASST150000000000006 | 2015 |  M02   | 670890 |           |
| LASST150000000000006 | 2015 |  M01   | 670234 |           |
| LASST150000000000006 | 2014 |  M12   | 669552 |           |
| LASST150000000000006 | 2014 |  M11   | 668912 |           |
| LASST150000000000006 | 2014 |  M10   | 668290 |           |
| LASST150000000000006 | 2014 |  M09   | 667668 |           |
| LASST150000000000006 | 2014 |  M08   | 667034 |           |
| LASST150000000000006 | 2014 |  M07   | 666335 |           |
| LASST150000000000006 | 2014 |  M06   | 665525 |           |
| LASST150000000000006 | 2014 |  M05   | 664619 |           |
| LASST150000000000006 | 2014 |  M04   | 663661 |           |
| LASST150000000000006 | 2014 |  M03   | 662647 |           |
| LASST150000000000006 | 2014 |  M02   | 661607 |           |
| LASST150000000000006 | 2014 |  M01   | 660487 |           |
| LASST150000000000006 | 2013 |  M12   | 659842 |           |
| LASST150000000000006 | 2013 |  M11   | 658284 |           |
| LASST150000000000006 | 2013 |  M10   | 656561 |           |
| LASST150000000000006 | 2013 |  M09   | 654749 |           |
| LASST150000000000006 | 2013 |  M08   | 652939 |           |
| LASST150000000000006 | 2013 |  M07   | 651268 |           |
| LASST150000000000006 | 2013 |  M06   | 649820 |           |
| LASST150000000000006 | 2013 |  M05   | 648595 |           |
| LASST150000000000006 | 2013 |  M04   | 647585 |           |
| LASST150000000000006 | 2013 |  M03   | 646805 |           |
| LASST150000000000006 | 2013 |  M02   | 646236 |           |
| LASST150000000000006 | 2013 |  M01   | 645877 |           |
| LASST150000000000006 | 2012 |  M12   | 645678 |           |
| LASST150000000000006 | 2012 |  M11   | 645533 |           |
| LASST150000000000006 | 2012 |  M10   | 645403 |           |
| LASST150000000000006 | 2012 |  M09   | 645309 |           |
| LASST150000000000006 | 2012 |  M08   | 645340 |           |
| LASST150000000000006 | 2012 |  M07   | 645600 |           |
| LASST150000000000006 | 2012 |  M06   | 646109 |           |
| LASST150000000000006 | 2012 |  M05   | 646905 |           |
| LASST150000000000006 | 2012 |  M04   | 648004 |           |
| LASST150000000000006 | 2012 |  M03   | 649380 |           |
| LASST150000000000006 | 2012 |  M02   | 650981 |           |
| LASST150000000000006 | 2012 |  M01   | 652737 |           |
| LASST150000000000006 | 2011 |  M12   | 654557 |           |
| LASST150000000000006 | 2011 |  M11   | 656316 |           |
| LASST150000000000006 | 2011 |  M10   | 657897 |           |
| LASST150000000000006 | 2011 |  M09   | 659208 |           |
| LASST150000000000006 | 2011 |  M08   | 660222 |           |
| LASST150000000000006 | 2011 |  M07   | 661013 |           |
| LASST150000000000006 | 2011 |  M06   | 661708 |           |
| LASST150000000000006 | 2011 |  M05   | 662280 |           |
| LASST150000000000006 | 2011 |  M04   | 662598 |           |
| LASST150000000000006 | 2011 |  M03   | 662537 |           |
| LASST150000000000006 | 2011 |  M02   | 661975 |           |
| LASST150000000000006 | 2011 |  M01   | 660878 |           |
| LASST150000000000006 | 2010 |  M12   | 659367 |           |
| LASST150000000000006 | 2010 |  M11   | 657619 |           |
| LASST150000000000006 | 2010 |  M10   | 655746 |           |
| LASST150000000000006 | 2010 |  M09   | 653823 |           |
| LASST150000000000006 | 2010 |  M08   | 651813 |           |
| LASST150000000000006 | 2010 |  M07   | 649539 |           |
| LASST150000000000006 | 2010 |  M06   | 646940 |           |
| LASST150000000000006 | 2010 |  M05   | 644088 |           |
| LASST150000000000006 | 2010 |  M04   | 641085 |           |
| LASST150000000000006 | 2010 |  M03   | 638106 |           |
| LASST150000000000006 | 2010 |  M02   | 635460 |           |
| LASST150000000000006 | 2010 |  M01   | 633386 |           |
| LASST150000000000006 | 2009 |  M12   | 631973 |           |
| LASST150000000000006 | 2009 |  M11   | 631194 |           |
| LASST150000000000006 | 2009 |  M10   | 630928 |           |
| LASST150000000000006 | 2009 |  M09   | 630972 |           |
| LASST150000000000006 | 2009 |  M08   | 631138 |           |
| LASST150000000000006 | 2009 |  M07   | 631328 |           |
| LASST150000000000006 | 2009 |  M06   | 631468 |           |
| LASST150000000000006 | 2009 |  M05   | 631561 |           |
| LASST150000000000006 | 2009 |  M04   | 631768 |           |
| LASST150000000000006 | 2009 |  M03   | 632205 |           |
| LASST150000000000006 | 2009 |  M02   | 632864 |           |
| LASST150000000000006 | 2009 |  M01   | 633729 |           |
+----------------------+------+--------+--------+-----------+
